event_id: EVT00000001, load_id: LOAD00000001, trip_id: TRIP00000001, event_type: Pickup, facility_id: FAC00034, scheduled_datetime: 2022-01-01 18:00:00.000000, actual_datetime: 2022-01-01 20:58:55.918185, detention_minutes: 0, on_time_flag: False, location_city: Houston, location_state: TX
event_id: EVT00000017, load_id: LOAD00000009, trip_id: TRIP00000009, event_type: Pickup, facility_id: FAC00001, scheduled_datetime: 2022-01-01 17:00:00.000000, actual_datetime: 2022-01-01 15:09:54.283718, detention_minutes: 9, on_time_flag: True, location_city: Miami, location_state: FL
event_id: EVT00000018, load_id: LOAD00000009, trip_id: TRIP00000009, event_type: Delivery, facility_id: FAC00028, scheduled_datetime: 2022-01-03 18:33:54.283718, actual_datetime: 2022-01-04 00:08:52.967601, detention_minutes: 182, on_time_flag: False, location_city: Seattle, location_state: WA
event_id: EVT00000019, load_id: LOAD00000010, trip_id: TRIP00000010, event_type: Pickup, facility_id: FAC00020, scheduled_datetime: 2022-01-01 07:00:00.000000, actual_datetime: 2022-01-01 06:13:28.892373, detention_minutes: 159, on_time_flag: True, location_city: Miami, location_state: FL
event_id: EVT00000020, load_id: LOAD00000010, trip_id: TRIP00000010, event_type: Delivery, facility_id: FAC00014, scheduled_datetime: 2022-01-03 18:25:28.892373, actual_datetime: 2022-01-03 21:33:28.250329, detention_minutes: 230, on_time_flag: False, location_city: Seattle, location_state: WA
event_id: EVT00000021, load_id: LOAD00000011, trip_id: TRIP00000011, event_type: Pickup, facility_id: FAC00016, scheduled_datetime: 2022-01-01 17:00:00.000000, actual_datetime: 2022-01-01 15:00:25.529439, detention_minutes: 2, on_time_flag: True, location_city: Kansas City, location_state: MO
event_id: EVT00000022, load_id: LOAD00000011, trip_id: TRIP00000011, event_type: Delivery, facility_id: FAC00032, scheduled_datetime: 2022-01-02 00:54:25.529439, actual_datetime: 2022-01-02 05:53:29.460204, detention_minutes: 0, on_time_flag: False, location_city: Indianapolis, location_state: IN
event_id: EVT00000023, load_id: LOAD00000012, trip_id: TRIP00000012, event_type: Pickup, facility_id: FAC00021, scheduled_datetime: 2022-01-01 15:00:00.000000, actual_datetime: 2022-01-01 18:36:16.218829, detention_minutes: 0, on_time_flag: False, location_city: Memphis, location_state: TN
event_id: EVT00000024, load_id: LOAD00000012, trip_id: TRIP00000012, event_type: Delivery, facility_id: FAC00025, scheduled_datetime: 2022-01-02 08:54:16.218829, actual_datetime: 2022-01-02 09:00:21.031626, detention_minutes: 30, on_time_flag: True, location_city: Minneapolis, location_state: MN
event_id: EVT00000025, load_id: LOAD00000013, trip_id: TRIP00000013, event_type: Pickup, facility_id: FAC00033, scheduled_datetime: 2022-01-01 10:00:00.000000, actual_datetime: 2022-01-01 12:41:12.554617, detention_minutes: 0, on_time_flag: False, location_city: Atlanta, location_state: GA
event_id: EVT00000026, load_id: LOAD00000013, trip_id: TRIP00000013, event_type: Delivery, facility_id: FAC00003, scheduled_datetime: 2022-01-02 01:05:12.554617, actual_datetime: 2022-01-02 06:25:17.464599, detention_minutes: 126, on_time_flag: False, location_city: Miami, location_state: FL
event_id: EVT00000027, load_id: LOAD00000014, trip_id: TRIP00000014, event_type: Pickup, facility_id: FAC00046, scheduled_datetime: 2022-01-01 10:00:00.000000, actual_datetime: 2022-01-01 13:30:18.138319, detention_minutes: 104, on_time_flag: False, location_city: Portland, location_state: OR
event_id: EVT00000028, load_id: LOAD00000014, trip_id: TRIP00000014, event_type: Delivery, facility_id: FAC00040, scheduled_datetime: 2022-01-03 00:30:18.138319, actual_datetime: 2022-01-03 04:07:54.869928, detention_minutes: 20, on_time_flag: False, location_city: Detroit, location_state: MI
event_id: EVT00000029, load_id: LOAD00000015, trip_id: TRIP00000015, event_type: Pickup, facility_id: FAC00022, scheduled_datetime: 2022-01-01 07:00:00.000000, actual_datetime: 2022-01-01 07:47:13.542430, detention_minutes: 0, on_time_flag: True, location_city: Chicago, location_state: IL
event_id: EVT00000030, load_id: LOAD00000015, trip_id: TRIP00000015, event_type: Delivery, facility_id: FAC00002, scheduled_datetime: 2022-01-01 19:11:13.542430, actual_datetime: 2022-01-01 17:45:11.758069, detention_minutes: 237, on_time_flag: True, location_city: Charlotte, location_state: NC
event_id: EVT00000031, load_id: LOAD00000016, trip_id: TRIP00000016, event_type: Pickup, facility_id: FAC00009, scheduled_datetime: 2022-01-01 10:00:00.000000, actual_datetime: 2022-01-01 13:33:41.029148, detention_minutes: 0, on_time_flag: False, location_city: Philadelphia, location_state: PA
event_id: EVT00000032, load_id: LOAD00000016, trip_id: TRIP00000016, event_type: Delivery, facility_id: FAC00025, scheduled_datetime: 2022-01-01 15:27:41.029148, actual_datetime: 2022-01-01 13:56:14.753508, detention_minutes: 30, on_time_flag: True, location_city: New York, location_state: NY
event_id: EVT00000033, load_id: LOAD00000017, trip_id: TRIP00000017, event_type: Pickup, facility_id: FAC00034, scheduled_datetime: 2022-01-01 15:00:00.000000, actual_datetime: 2022-01-01 14:42:02.952632, detention_minutes: 0, on_time_flag: True, location_city: Kansas City, location_state: MO
event_id: EVT00000034, load_id: LOAD00000017, trip_id: TRIP00000017, event_type: Delivery, facility_id: FAC00010, scheduled_datetime: 2022-01-02 16:12:02.952632, actual_datetime: 2022-01-02 17:29:23.553207, detention_minutes: 218, on_time_flag: True, location_city: Los Angeles, location_state: CA
event_id: EVT00000035, load_id: LOAD00000018, trip_id: TRIP00000018, event_type: Pickup, facility_id: FAC00043, scheduled_datetime: 2022-01-01 13:00:00.000000, actual_datetime: 2022-01-01 11:42:26.571604, detention_minutes: 156, on_time_flag: True, location_city: Las Vegas, location_state: NV
event_id: EVT00000036, load_id: LOAD00000018, trip_id: TRIP00000018, event_type: Delivery, facility_id: FAC00046, scheduled_datetime: 2022-01-02 13:30:26.571604, actual_datetime: 2022-01-02 11:18:22.416523, detention_minutes: 14, on_time_flag: False, location_city: Kansas City, location_state: MO
event_id: EVT00000037, load_id: LOAD00000019, trip_id: TRIP00000019, event_type: Pickup, facility_id: FAC00050, scheduled_datetime: 2022-01-01 12:00:00.000000, actual_datetime: 2022-01-01 15:16:34.499671, detention_minutes: 77, on_time_flag: False, location_city: Phoenix, location_state: AZ
event_id: EVT00000038, load_id: LOAD00000019, trip_id: TRIP00000019, event_type: Delivery, facility_id: FAC00013, scheduled_datetime: 2022-01-03 11:58:34.499671, actual_datetime: 2022-01-03 11:42:50.996598, detention_minutes: 208, on_time_flag: True, location_city: Philadelphia, location_state: PA
event_id: EVT00000039, load_id: LOAD00000020, trip_id: TRIP00000020, event_type: Pickup, facility_id: FAC00033, scheduled_datetime: 2022-01-01 14:00:00.000000, actual_datetime: 2022-01-01 14:18:54.697099, detention_minutes: 8, on_time_flag: True, location_city: Atlanta, location_state: GA
event_id: EVT00000040, load_id: LOAD00000020, trip_id: TRIP00000020, event_type: Delivery, facility_id: FAC00008, scheduled_datetime: 2022-01-02 00:36:54.697099, actual_datetime: 2022-01-02 04:21:58.685278, detention_minutes: 95, on_time_flag: False, location_city: Chicago, location_state: IL
event_id: EVT00000041, load_id: LOAD00000021, trip_id: TRIP00000021, event_type: Pickup, facility_id: FAC00028, scheduled_datetime: 2022-01-01 10:00:00.000000, actual_datetime: 2022-01-01 11:44:40.281617, detention_minutes: 0, on_time_flag: True, location_city: Charlotte, location_state: NC
event_id: EVT00000042, load_id: LOAD00000021, trip_id: TRIP00000021, event_type: Delivery, facility_id: FAC00024, scheduled_datetime: 2022-01-03 11:44:40.281617, actual_datetime: 2022-01-03 11:31:46.468485, detention_minutes: 144, on_time_flag: True, location_city: Seattle, location_state: WA
event_id: EVT00000043, load_id: LOAD00000022, trip_id: TRIP00000022, event_type: Pickup, facility_id: FAC00026, scheduled_datetime: 2022-01-01 07:00:00.000000, actual_datetime: 2022-01-01 08:40:22.808653, detention_minutes: 141, on_time_flag: True, location_city: Dallas, location_state: TX
event_id: EVT00000044, load_id: LOAD00000022, trip_id: TRIP00000022, event_type: Delivery, facility_id: FAC00041, scheduled_datetime: 2022-01-01 23:16:22.808653, actual_datetime: 2022-01-02 04:53:41.010919, detention_minutes: 161, on_time_flag: False, location_city: Indianapolis, location_state: IN
event_id: EVT00000045, load_id: LOAD00000023, trip_id: TRIP00000023, event_type: Pickup, facility_id: FAC00003, scheduled_datetime: 2022-01-01 12:00:00.000000, actual_datetime: 2022-01-01 12:42:31.373576, detention_minutes: 2, on_time_flag: True, location_city: Columbus, location_state: OH
event_id: EVT00000046, load_id: LOAD00000023, trip_id: TRIP00000023, event_type: Delivery, facility_id: FAC00037, scheduled_datetime: 2022-01-03 11:06:31.373576, actual_datetime: 2022-01-03 10:45:56.519220, detention_minutes: 109, on_time_flag: True, location_city: Portland, location_state: OR
event_id: EVT00000047, load_id: LOAD00000024, trip_id: TRIP00000024, event_type: Pickup, facility_id: FAC00042, scheduled_datetime: 2022-01-01 07:00:00.000000, actual_datetime: 2022-01-01 08:02:23.487752, detention_minutes: 150, on_time_flag: True, location_city: Las Vegas, location_state: NV
event_id: EVT00000048, load_id: LOAD00000024, trip_id: TRIP00000024, event_type: Delivery, facility_id: FAC00050, scheduled_datetime: 2022-01-02 03:56:23.487752, actual_datetime: 2022-01-02 08:16:47.057773, detention_minutes: 87, on_time_flag: False, location_city: Dallas, location_state: TX
event_id: EVT00000049, load_id: LOAD00000025, trip_id: TRIP00000025, event_type: Pickup, facility_id: FAC00005, scheduled_datetime: 2022-01-01 14:00:00.000000, actual_datetime: 2022-01-01 13:56:49.756118, detention_minutes: 110, on_time_flag: True, location_city: Portland, location_state: OR
event_id: EVT00000050, load_id: LOAD00000025, trip_id: TRIP00000025, event_type: Delivery, facility_id: FAC00044, scheduled_datetime: 2022-01-03 07:14:49.756118, actual_datetime: 2022-01-03 09:50:35.947544, detention_minutes: 135, on_time_flag: False, location_city: Columbus, location_state: OH
event_id: EVT00000051, load_id: LOAD00000026, trip_id: TRIP00000026, event_type: Pickup, facility_id: FAC00041, scheduled_datetime: 2022-01-01 16:00:00.000000, actual_datetime: 2022-01-01 16:30:25.626434, detention_minutes: 56, on_time_flag: True, location_city: Houston, location_state: TX
event_id: EVT00000052, load_id: LOAD00000026, trip_id: TRIP00000026, event_type: Delivery, facility_id: FAC00011, scheduled_datetime: 2022-01-02 01:54:25.626434, actual_datetime: 2022-01-01 23:53:22.542172, detention_minutes: 48, on_time_flag: False, location_city: Memphis, location_state: TN
event_id: EVT00000053, load_id: LOAD00000027, trip_id: TRIP00000027, event_type: Pickup, facility_id: FAC00040, scheduled_datetime: 2022-01-01 17:00:00.000000, actual_datetime: 2022-01-01 16:02:59.815921, detention_minutes: 67, on_time_flag: True, location_city: Kansas City, location_state: MO
event_id: EVT00000054, load_id: LOAD00000027, trip_id: TRIP00000027, event_type: Delivery, facility_id: FAC00030, scheduled_datetime: 2022-01-02 00:20:59.815921, actual_datetime: 2022-01-02 06:11:31.801060, detention_minutes: 140, on_time_flag: False, location_city: Indianapolis, location_state: IN
event_id: EVT00000055, load_id: LOAD00000028, trip_id: TRIP00000028, event_type: Pickup, facility_id: FAC00020, scheduled_datetime: 2022-01-01 15:00:00.000000, actual_datetime: 2022-01-01 13:56:43.915878, detention_minutes: 94, on_time_flag: True, location_city: Chicago, location_state: IL
event_id: EVT00000056, load_id: LOAD00000028, trip_id: TRIP00000028, event_type: Delivery, facility_id: FAC00040, scheduled_datetime: 2022-01-03 00:08:43.915878, actual_datetime: 2022-01-03 04:01:49.975942, detention_minutes: 0, on_time_flag: False, location_city: Portland, location_state: OR
event_id: EVT00000057, load_id: LOAD00000029, trip_id: TRIP00000029, event_type: Pickup, facility_id: FAC00045, scheduled_datetime: 2022-01-01 12:00:00.000000, actual_datetime: 2022-01-01 10:35:07.173021, detention_minutes: 144, on_time_flag: True, location_city: Miami, location_state: FL
event_id: EVT00000058, load_id: LOAD00000029, trip_id: TRIP00000029, event_type: Delivery, facility_id: FAC00019, scheduled_datetime: 2022-01-02 19:17:07.173021, actual_datetime: 2022-01-02 21:19:02.599533, detention_minutes: 190, on_time_flag: False, location_city: Denver, location_state: CO
event_id: EVT00000059, load_id: LOAD00000030, trip_id: TRIP00000030, event_type: Pickup, facility_id: FAC00048, scheduled_datetime: 2022-01-01 17:00:00.000000, actual_datetime: 2022-01-01 20:53:35.882590, detention_minutes: 156, on_time_flag: False, location_city: New York, location_state: NY
event_id: EVT00000060, load_id: LOAD00000030, trip_id: TRIP00000030, event_type: Delivery, facility_id: FAC00035, scheduled_datetime: 2022-01-01 22:29:35.882590, actual_datetime: 2022-01-01 22:48:56.544464, detention_minutes: 36, on_time_flag: True, location_city: Philadelphia, location_state: PA
event_id: EVT00000061, load_id: LOAD00000031, trip_id: TRIP00000031, event_type: Pickup, facility_id: FAC00010, scheduled_datetime: 2022-01-01 10:00:00.000000, actual_datetime: 2022-01-01 10:16:35.087205, detention_minutes: 147, on_time_flag: True, location_city: Charlotte, location_state: NC
event_id: EVT00000062, load_id: LOAD00000031, trip_id: TRIP00000031, event_type: Delivery, facility_id: FAC00002, scheduled_datetime: 2022-01-03 10:16:35.087205, actual_datetime: 2022-01-03 16:11:38.741326, detention_minutes: 162, on_time_flag: False, location_city: Seattle, location_state: WA
event_id: EVT00000063, load_id: LOAD00000032, trip_id: TRIP00000032, event_type: Pickup, facility_id: FAC00035, scheduled_datetime: 2022-01-01 17:00:00.000000, actual_datetime: 2022-01-01 20:11:54.093586, detention_minutes: 75, on_time_flag: False, location_city: Chicago, location_state: IL
event_id: EVT00000064, load_id: LOAD00000032, trip_id: TRIP00000032, event_type: Delivery, facility_id: FAC00041, scheduled_datetime: 2022-01-02 08:05:54.093586, actual_datetime: 2022-01-02 12:30:12.723659, detention_minutes: 131, on_time_flag: False, location_city: Charlotte, location_state: NC
event_id: EVT00000065, load_id: LOAD00000033, trip_id: TRIP00000033, event_type: Pickup, facility_id: FAC00023, scheduled_datetime: 2022-01-01 18:00:00.000000, actual_datetime: 2022-01-01 21:46:10.367559, detention_minutes: 35, on_time_flag: False, location_city: Portland, location_state: OR
event_id: EVT00000066, load_id: LOAD00000033, trip_id: TRIP00000033, event_type: Delivery, facility_id: FAC00001, scheduled_datetime: 2022-01-02 00:58:10.367559, actual_datetime: 2022-01-02 01:29:10.689963, detention_minutes: 235, on_time_flag: True, location_city: Seattle, location_state: WA
event_id: EVT00000067, load_id: LOAD00000034, trip_id: TRIP00000034, event_type: Pickup, facility_id: FAC00016, scheduled_datetime: 2022-01-01 12:00:00.000000, actual_datetime: 2022-01-01 12:23:44.880918, detention_minutes: 24, on_time_flag: True, location_city: Portland, location_state: OR
event_id: EVT00000068, load_id: LOAD00000034, trip_id: TRIP00000034, event_type: Delivery, facility_id: FAC00046, scheduled_datetime: 2022-01-03 05:17:44.880918, actual_datetime: 2022-01-03 03:50:06.436766, detention_minutes: 35, on_time_flag: True, location_city: Columbus, location_state: OH
event_id: EVT00000069, load_id: LOAD00000035, trip_id: TRIP00000035, event_type: Pickup, facility_id: FAC00032, scheduled_datetime: 2022-01-01 14:00:00.000000, actual_datetime: 2022-01-01 15:48:25.607510, detention_minutes: 107, on_time_flag: True, location_city: Miami, location_state: FL
event_id: EVT00000070, load_id: LOAD00000035, trip_id: TRIP00000035, event_type: Delivery, facility_id: FAC00007, scheduled_datetime: 2022-01-03 00:30:25.607510, actual_datetime: 2022-01-02 21:32:14.921717, detention_minutes: 93, on_time_flag: False, location_city: Denver, location_state: CO
event_id: EVT00000071, load_id: LOAD00000036, trip_id: TRIP00000036, event_type: Pickup, facility_id: FAC00023, scheduled_datetime: 2022-01-01 12:00:00.000000, actual_datetime: 2022-01-01 11:51:02.125868, detention_minutes: 170, on_time_flag: True, location_city: Houston, location_state: TX
event_id: EVT00000072, load_id: LOAD00000036, trip_id: TRIP00000036, event_type: Delivery, facility_id: FAC00048, scheduled_datetime: 2022-01-03 06:39:02.125868, actual_datetime: 2022-01-03 06:42:23.240106, detention_minutes: 103, on_time_flag: True, location_city: Seattle, location_state: WA
event_id: EVT00000073, load_id: LOAD00000037, trip_id: TRIP00000037, event_type: Pickup, facility_id: FAC00036, scheduled_datetime: 2022-01-01 18:00:00.000000, actual_datetime: 2022-01-01 16:47:25.192341, detention_minutes: 160, on_time_flag: True, location_city: Kansas City, location_state: MO
event_id: EVT00000074, load_id: LOAD00000037, trip_id: TRIP00000037, event_type: Delivery, facility_id: FAC00012, scheduled_datetime: 2022-01-02 19:17:25.192341, actual_datetime: 2022-01-03 00:47:38.822831, detention_minutes: 90, on_time_flag: False, location_city: Miami, location_state: FL
event_id: EVT00000075, load_id: LOAD00000038, trip_id: TRIP00000038, event_type: Pickup, facility_id: FAC00032, scheduled_datetime: 2022-01-01 07:00:00.000000, actual_datetime: 2022-01-01 07:13:31.629502, detention_minutes: 0, on_time_flag: True, location_city: Houston, location_state: TX
event_id: EVT00000076, load_id: LOAD00000038, trip_id: TRIP00000038, event_type: Delivery, facility_id: FAC00033, scheduled_datetime: 2022-01-01 16:49:31.629502, actual_datetime: 2022-01-01 14:23:37.541535, detention_minutes: 197, on_time_flag: False, location_city: Memphis, location_state: TN
event_id: EVT00000077, load_id: LOAD00000039, trip_id: TRIP00000039, event_type: Pickup, facility_id: FAC00020, scheduled_datetime: 2022-01-01 14:00:00.000000, actual_datetime: 2022-01-01 12:48:59.410517, detention_minutes: 141, on_time_flag: True, location_city: Miami, location_state: FL
event_id: EVT00000078, load_id: LOAD00000039, trip_id: TRIP00000039, event_type: Delivery, facility_id: FAC00047, scheduled_datetime: 2022-01-03 22:30:59.410517, actual_datetime: 2022-01-03 19:53:06.882320, detention_minutes: 0, on_time_flag: False, location_city: Seattle, location_state: WA
event_id: EVT00000079, load_id: LOAD00000040, trip_id: TRIP00000040, event_type: Pickup, facility_id: FAC00026, scheduled_datetime: 2022-01-01 11:00:00.000000, actual_datetime: 2022-01-01 13:43:26.175764, detention_minutes: 93, on_time_flag: False, location_city: Philadelphia, location_state: PA
event_id: EVT00000080, load_id: LOAD00000040, trip_id: TRIP00000040, event_type: Delivery, facility_id: FAC00031, scheduled_datetime: 2022-01-03 11:13:26.175764, actual_datetime: 2022-01-03 08:19:25.540425, detention_minutes: 46, on_time_flag: False, location_city: Seattle, location_state: WA
event_id: EVT00000081, load_id: LOAD00000041, trip_id: TRIP00000041, event_type: Pickup, facility_id: FAC00046, scheduled_datetime: 2022-01-01 08:00:00.000000, actual_datetime: 2022-01-01 10:46:34.470538, detention_minutes: 126, on_time_flag: False, location_city: Dallas, location_state: TX
event_id: EVT00000082, load_id: LOAD00000041, trip_id: TRIP00000041, event_type: Delivery, facility_id: FAC00011, scheduled_datetime: 2022-01-02 18:46:34.470538, actual_datetime: 2022-01-02 16:48:55.199275, detention_minutes: 4, on_time_flag: True, location_city: New York, location_state: NY
event_id: EVT00000083, load_id: LOAD00000042, trip_id: TRIP00000042, event_type: Pickup, facility_id: FAC00039, scheduled_datetime: 2022-01-01 18:00:00.000000, actual_datetime: 2022-01-01 17:06:48.685959, detention_minutes: 27, on_time_flag: True, location_city: Portland, location_state: OR
event_id: EVT00000084, load_id: LOAD00000042, trip_id: TRIP00000042, event_type: Delivery, facility_id: FAC00005, scheduled_datetime: 2022-01-01 20:12:48.685959, actual_datetime: 2022-01-01 22:41:49.594491, detention_minutes: 139, on_time_flag: False, location_city: Seattle, location_state: WA
event_id: EVT00000085, load_id: LOAD00000043, trip_id: TRIP00000043, event_type: Pickup, facility_id: FAC00048, scheduled_datetime: 2022-01-01 12:00:00.000000, actual_datetime: 2022-01-01 14:59:03.019278, detention_minutes: 173, on_time_flag: False, location_city: Charlotte, location_state: NC
event_id: EVT00000086, load_id: LOAD00000043, trip_id: TRIP00000043, event_type: Delivery, facility_id: FAC00019, scheduled_datetime: 2022-01-03 15:35:03.019278, actual_datetime: 2022-01-03 17:02:20.361784, detention_minutes: 137, on_time_flag: True, location_city: Seattle, location_state: WA
event_id: EVT00000087, load_id: LOAD00000044, trip_id: TRIP00000044, event_type: Pickup, facility_id: FAC00026, scheduled_datetime: 2022-01-01 08:00:00.000000, actual_datetime: 2022-01-01 09:20:56.290618, detention_minutes: 172, on_time_flag: True, location_city: Kansas City, location_state: MO
event_id: EVT00000088, load_id: LOAD00000044, trip_id: TRIP00000044, event_type: Delivery, facility_id: FAC00043, scheduled_datetime: 2022-01-02 20:08:56.290618, actual_datetime: 2022-01-02 18:52:19.626274, detention_minutes: 26, on_time_flag: True, location_city: Portland, location_state: OR
event_id: EVT00000089, load_id: LOAD00000045, trip_id: TRIP00000045, event_type: Pickup, facility_id: FAC00003, scheduled_datetime: 2022-01-01 16:00:00.000000, actual_datetime: 2022-01-01 19:11:41.615504, detention_minutes: 0, on_time_flag: False, location_city: Denver, location_state: CO
event_id: EVT00000090, load_id: LOAD00000045, trip_id: TRIP00000045, event_type: Delivery, facility_id: FAC00022, scheduled_datetime: 2022-01-02 06:35:41.615504, actual_datetime: 2022-01-02 08:18:56.216888, detention_minutes: 173, on_time_flag: True, location_city: Kansas City, location_state: MO
event_id: EVT00000091, load_id: LOAD00000046, trip_id: TRIP00000046, event_type: Pickup, facility_id: FAC00013, scheduled_datetime: 2022-01-01 07:00:00.000000, actual_datetime: 2022-01-01 08:16:57.260139, detention_minutes: 136, on_time_flag: True, location_city: Portland, location_state: OR
event_id: EVT00000092, load_id: LOAD00000046, trip_id: TRIP00000046, event_type: Delivery, facility_id: FAC00026, scheduled_datetime: 2022-01-01 11:16:57.260139, actual_datetime: 2022-01-01 17:00:14.675465, detention_minutes: 185, on_time_flag: False, location_city: Seattle, location_state: WA
event_id: EVT00000093, load_id: LOAD00000047, trip_id: TRIP00000047, event_type: Pickup, facility_id: FAC00030, scheduled_datetime: 2022-01-01 10:00:00.000000, actual_datetime: 2022-01-01 09:09:51.533589, detention_minutes: 81, on_time_flag: True, location_city: Houston, location_state: TX
event_id: EVT00000094, load_id: LOAD00000047, trip_id: TRIP00000047, event_type: Delivery, facility_id: FAC00024, scheduled_datetime: 2022-01-02 19:51:51.533589, actual_datetime: 2022-01-02 20:04:56.997020, detention_minutes: 5, on_time_flag: True, location_city: Seattle, location_state: WA
event_id: EVT00000095, load_id: LOAD00000048, trip_id: TRIP00000048, event_type: Pickup, facility_id: FAC00048, scheduled_datetime: 2022-01-01 15:00:00.000000, actual_datetime: 2022-01-01 17:29:43.019906, detention_minutes: 6, on_time_flag: False, location_city: Kansas City, location_state: MO
event_id: EVT00000096, load_id: LOAD00000048, trip_id: TRIP00000048, event_type: Delivery, facility_id: FAC00032, scheduled_datetime: 2022-01-02 09:47:43.019906, actual_datetime: 2022-01-02 10:58:11.948998, detention_minutes: 61, on_time_flag: True, location_city: Atlanta, location_state: GA
event_id: EVT00000097, load_id: LOAD00000049, trip_id: TRIP00000049, event_type: Pickup, facility_id: FAC00012, scheduled_datetime: 2022-01-01 17:00:00.000000, actual_datetime: 2022-01-01 15:17:44.020438, detention_minutes: 20, on_time_flag: True, location_city: Minneapolis, location_state: MN
event_id: EVT00000098, load_id: LOAD00000049, trip_id: TRIP00000049, event_type: Delivery, facility_id: FAC00046, scheduled_datetime: 2022-01-02 15:05:44.020438, actual_datetime: 2022-01-02 14:30:15.385861, detention_minutes: 0, on_time_flag: True, location_city: Houston, location_state: TX
