fuel_purchase_id: FUEL00000001, trip_id: TRIP00051284, truck_id: TRK00045, driver_id: DRV00102, purchase_date: 2023-10-22 05:00:00, location_city: Columbus, location_state: MN, gallons: 131.6, price_per_gallon: 3.399, total_cost: 447.31, fuel_card_number: FC567161
fuel_purchase_id: FUEL00000023, trip_id: TRIP00061721, truck_id: TRK00012, driver_id: DRV00146, purchase_date: 2024-03-04 01:00:00, location_city: Salt Lake City, location_state: CO, gallons: 104.2, price_per_gallon: 3.572, total_cost: 372.2, fuel_card_number: FC613782
fuel_purchase_id: FUEL00000024, trip_id: TRIP00019599, truck_id: TRK00051, driver_id: nan, purchase_date: 2022-09-09 08:00:00, location_city: Detroit, location_state: NY, gallons: 94.6, price_per_gallon: 4.987, total_cost: 471.77, fuel_card_number: FC397584
fuel_purchase_id: FUEL00000025, trip_id: TRIP00052921, truck_id: TRK00045, driver_id: DRV00058, purchase_date: 2023-11-14 13:00:00, location_city: Philadelphia, location_state: GA, gallons: 58.5, price_per_gallon: 3.811, total_cost: 222.94, fuel_card_number: FC344307
fuel_purchase_id: FUEL00000026, trip_id: TRIP00061721, truck_id: TRK00012, driver_id: DRV00146, purchase_date: 2024-03-07 00:00:00, location_city: Memphis, location_state: TN, gallons: 189.4, price_per_gallon: 3.638, total_cost: 689.04, fuel_card_number: FC964791
fuel_purchase_id: FUEL00000027, trip_id: TRIP00018973, truck_id: TRK00038, driver_id: DRV00102, purchase_date: 2022-09-01 16:00:00, location_city: Seattle, location_state: OR, gallons: 54.1, price_per_gallon: 4.8, total_cost: 259.68, fuel_card_number: FC704288
fuel_purchase_id: FUEL00000028, trip_id: TRIP00015345, truck_id: TRK00068, driver_id: DRV00055, purchase_date: 2022-07-16 16:00:00, location_city: Charlotte, location_state: MN, gallons: 165.1, price_per_gallon: 4.559, total_cost: 752.69, fuel_card_number: FC896091
fuel_purchase_id: FUEL00000029, trip_id: TRIP00054665, truck_id: TRK00059, driver_id: DRV00045, purchase_date: 2023-12-06 23:00:00, location_city: Chicago, location_state: TN, gallons: 199.1, price_per_gallon: 3.407, total_cost: 678.33, fuel_card_number: FC357545
fuel_purchase_id: FUEL00000030, trip_id: TRIP00044998, truck_id: TRK00057, driver_id: DRV00108, purchase_date: 2023-08-02 13:00:00, location_city: Memphis, location_state: TX, gallons: 50.9, price_per_gallon: 3.726, total_cost: 189.65, fuel_card_number: FC116708
fuel_purchase_id: FUEL00000031, trip_id: TRIP00018207, truck_id: TRK00090, driver_id: DRV00080, purchase_date: 2022-08-21 07:00:00, location_city: Milwaukee, location_state: NE, gallons: 188.1, price_per_gallon: 4.596, total_cost: 864.51, fuel_card_number: FC168101
fuel_purchase_id: FUEL00000032, trip_id: TRIP00057067, truck_id: TRK00091, driver_id: DRV00143, purchase_date: 2024-01-07 14:00:00, location_city: Atlanta, location_state: PA, gallons: 108.7, price_per_gallon: 3.43, total_cost: 372.84, fuel_card_number: FC755223
fuel_purchase_id: FUEL00000033, trip_id: TRIP00046884, truck_id: TRK00035, driver_id: DRV00082, purchase_date: 2023-08-25 08:00:00, location_city: Omaha, location_state: IN, gallons: 177.2, price_per_gallon: 4.239, total_cost: 751.15, fuel_card_number: FC251050
fuel_purchase_id: FUEL00000034, trip_id: TRIP00056661, truck_id: TRK00001, driver_id: DRV00058, purchase_date: 2023-12-31 07:00:00, location_city: Detroit, location_state: OR, gallons: 79.4, price_per_gallon: 3.464, total_cost: 275.04, fuel_card_number: FC240285
fuel_purchase_id: FUEL00000035, trip_id: TRIP00075174, truck_id: TRK00113, driver_id: DRV00108, purchase_date: 2024-08-23 02:00:00, location_city: Dallas, location_state: UT, gallons: 126.6, price_per_gallon: 3.731, total_cost: 472.34, fuel_card_number: FC872450
fuel_purchase_id: FUEL00000036, trip_id: TRIP00007316, truck_id: TRK00092, driver_id: DRV00149, purchase_date: 2022-04-06 10:00:00, location_city: Seattle, location_state: OR, gallons: 179.8, price_per_gallon: 4.768, total_cost: 857.29, fuel_card_number: FC998728
fuel_purchase_id: FUEL00000037, trip_id: TRIP00038490, truck_id: TRK00078, driver_id: DRV00110, purchase_date: 2023-05-11 19:00:00, location_city: Atlanta, location_state: GA, gallons: 174.7, price_per_gallon: 4.07, total_cost: 711.03, fuel_card_number: FC496202
fuel_purchase_id: FUEL00000038, trip_id: TRIP00036457, truck_id: nan, driver_id: DRV00020, purchase_date: 2023-04-12 11:00:00, location_city: Indianapolis, location_state: TN, gallons: 138.4, price_per_gallon: 3.42, total_cost: 473.33, fuel_card_number: FC800413
fuel_purchase_id: FUEL00000039, trip_id: TRIP00061302, truck_id: TRK00008, driver_id: DRV00111, purchase_date: 2024-02-29 05:00:00, location_city: Seattle, location_state: AZ, gallons: 97.7, price_per_gallon: 3.939, total_cost: 384.84, fuel_card_number: FC111516
fuel_purchase_id: FUEL00000040, trip_id: TRIP00074642, truck_id: TRK00103, driver_id: DRV00101, purchase_date: 2024-08-16 22:00:00, location_city: Miami, location_state: OR, gallons: 174.1, price_per_gallon: 3.764, total_cost: 655.31, fuel_card_number: FC356179
fuel_purchase_id: FUEL00000041, trip_id: TRIP00016576, truck_id: TRK00058, driver_id: DRV00112, purchase_date: 2022-07-31 04:00:00, location_city: Salt Lake City, location_state: IL, gallons: 70.6, price_per_gallon: 3.648, total_cost: 257.55, fuel_card_number: FC595786
fuel_purchase_id: FUEL00000042, trip_id: TRIP00074788, truck_id: TRK00039, driver_id: nan, purchase_date: 2024-08-19 15:00:00, location_city: New York, location_state: WA, gallons: 80.0, price_per_gallon: 3.633, total_cost: 290.64, fuel_card_number: FC376413
fuel_purchase_id: FUEL00000043, trip_id: TRIP00012164, truck_id: TRK00023, driver_id: DRV00111, purchase_date: 2022-06-09 00:00:00, location_city: Salt Lake City, location_state: IN, gallons: 134.2, price_per_gallon: 4.827, total_cost: 647.78, fuel_card_number: FC180869
fuel_purchase_id: FUEL00000044, trip_id: TRIP00018410, truck_id: TRK00099, driver_id: DRV00056, purchase_date: 2022-08-23 02:00:00, location_city: Indianapolis, location_state: MI, gallons: 110.8, price_per_gallon: 4.162, total_cost: 461.15, fuel_card_number: FC238570
fuel_purchase_id: FUEL00000045, trip_id: TRIP00073601, truck_id: TRK00010, driver_id: DRV00035, purchase_date: 2024-08-03 11:00:00, location_city: Memphis, location_state: IN, gallons: 197.9, price_per_gallon: 3.781, total_cost: 748.26, fuel_card_number: FC800411
fuel_purchase_id: FUEL00000046, trip_id: TRIP00040899, truck_id: TRK00106, driver_id: DRV00108, purchase_date: 2023-06-11 16:00:00, location_city: Dallas, location_state: NY, gallons: 90.0, price_per_gallon: 3.67, total_cost: 330.3, fuel_card_number: FC323918
fuel_purchase_id: FUEL00000047, trip_id: TRIP00072984, truck_id: TRK00078, driver_id: DRV00020, purchase_date: 2024-07-27 13:00:00, location_city: Portland, location_state: FL, gallons: 150.8, price_per_gallon: 3.53, total_cost: 532.32, fuel_card_number: FC988619
fuel_purchase_id: FUEL00000048, trip_id: TRIP00022762, truck_id: TRK00049, driver_id: DRV00099, purchase_date: 2022-10-17 16:00:00, location_city: Seattle, location_state: GA, gallons: 158.3, price_per_gallon: 3.617, total_cost: 572.57, fuel_card_number: FC711846
fuel_purchase_id: FUEL00000049, trip_id: TRIP00034709, truck_id: TRK00107, driver_id: DRV00087, purchase_date: 2023-03-20 06:00:00, location_city: Chicago, location_state: GA, gallons: 191.2, price_per_gallon: 3.67, total_cost: 701.7, fuel_card_number: FC685996
fuel_purchase_id: FUEL00000050, trip_id: TRIP00058321, truck_id: TRK00086, driver_id: DRV00029, purchase_date: 2024-01-23 19:00:00, location_city: Houston, location_state: MO, gallons: 146.1, price_per_gallon: 3.893, total_cost: 568.77, fuel_card_number: FC376202
fuel_purchase_id: FUEL00000051, trip_id: TRIP00067829, truck_id: TRK00113, driver_id: DRV00097, purchase_date: 2024-05-23 03:00:00, location_city: Omaha, location_state: CA, gallons: 89.2, price_per_gallon: 3.376, total_cost: 301.14, fuel_card_number: FC925796
fuel_purchase_id: FUEL00000052, trip_id: TRIP00008346, truck_id: TRK00014, driver_id: nan, purchase_date: 2022-04-19 02:00:00, location_city: Charlotte, location_state: CO, gallons: 82.0, price_per_gallon: 3.696, total_cost: 303.07, fuel_card_number: FC579727
fuel_purchase_id: FUEL00000053, trip_id: TRIP00034131, truck_id: TRK00093, driver_id: DRV00045, purchase_date: 2023-03-15 13:00:00, location_city: Denver, location_state: IL, gallons: 162.0, price_per_gallon: 4.342, total_cost: 703.4, fuel_card_number: FC119723
fuel_purchase_id: FUEL00000054, trip_id: TRIP00066191, truck_id: TRK00092, driver_id: DRV00121, purchase_date: 2024-04-30 10:00:00, location_city: Miami, location_state: UT, gallons: 143.2, price_per_gallon: 3.673, total_cost: 525.97, fuel_card_number: FC230665
fuel_purchase_id: FUEL00000055, trip_id: TRIP00040338, truck_id: TRK00018, driver_id: DRV00077, purchase_date: 2023-06-03 00:00:00, location_city: Las Vegas, location_state: UT, gallons: 160.3, price_per_gallon: 3.507, total_cost: 562.17, fuel_card_number: FC961510
fuel_purchase_id: FUEL00000056, trip_id: TRIP00045477, truck_id: TRK00020, driver_id: DRV00033, purchase_date: 2023-08-07 10:00:00, location_city: Portland, location_state: CA, gallons: 77.7, price_per_gallon: 4.106, total_cost: 319.04, fuel_card_number: FC216315
fuel_purchase_id: FUEL00000057, trip_id: TRIP00029465, truck_id: TRK00096, driver_id: nan, purchase_date: 2023-01-13 08:00:00, location_city: Columbus, location_state: OH, gallons: 60.7, price_per_gallon: 3.821, total_cost: 231.93, fuel_card_number: FC937463
fuel_purchase_id: FUEL00000058, trip_id: TRIP00036742, truck_id: TRK00010, driver_id: DRV00014, purchase_date: 2023-04-16 07:00:00, location_city: Atlanta, location_state: FL, gallons: 97.3, price_per_gallon: 3.683, total_cost: 358.36, fuel_card_number: FC790515
fuel_purchase_id: FUEL00000059, trip_id: TRIP00084577, truck_id: TRK00111, driver_id: DRV00122, purchase_date: 2024-12-23 00:00:00, location_city: Detroit, location_state: CO, gallons: 84.2, price_per_gallon: 3.398, total_cost: 286.11, fuel_card_number: FC316657
fuel_purchase_id: FUEL00000060, trip_id: TRIP00030951, truck_id: TRK00044, driver_id: DRV00084, purchase_date: 2023-01-31 10:00:00, location_city: Denver, location_state: FL, gallons: 73.2, price_per_gallon: 3.751, total_cost: 274.57, fuel_card_number: FC798669
fuel_purchase_id: FUEL00000061, trip_id: TRIP00052025, truck_id: TRK00016, driver_id: DRV00009, purchase_date: 2023-11-02 12:00:00, location_city: Kansas City, location_state: OK, gallons: 153.0, price_per_gallon: 3.623, total_cost: 554.32, fuel_card_number: FC786743
fuel_purchase_id: FUEL00000062, trip_id: TRIP00080734, truck_id: TRK00039, driver_id: DRV00064, purchase_date: 2024-11-03 00:00:00, location_city: Portland, location_state: TX, gallons: 132.5, price_per_gallon: 3.798, total_cost: 503.24, fuel_card_number: FC924356
fuel_purchase_id: FUEL00000063, trip_id: TRIP00059694, truck_id: TRK00086, driver_id: DRV00060, purchase_date: 2024-02-07 23:00:00, location_city: Seattle, location_state: AZ, gallons: 100.1, price_per_gallon: 4.024, total_cost: 402.8, fuel_card_number: FC741006
fuel_purchase_id: FUEL00000064, trip_id: TRIP00056824, truck_id: TRK00084, driver_id: DRV00020, purchase_date: 2024-01-01 05:00:00, location_city: Phoenix, location_state: IN, gallons: 130.5, price_per_gallon: 3.308, total_cost: 431.69, fuel_card_number: FC535932
fuel_purchase_id: FUEL00000065, trip_id: TRIP00070033, truck_id: TRK00098, driver_id: DRV00102, purchase_date: 2024-06-18 11:00:00, location_city: Columbus, location_state: FL, gallons: 77.0, price_per_gallon: 3.277, total_cost: 252.33, fuel_card_number: FC310595
fuel_purchase_id: FUEL00000066, trip_id: TRIP00074707, truck_id: TRK00115, driver_id: DRV00108, purchase_date: 2024-08-18 06:00:00, location_city: New York, location_state: NE, gallons: 70.3, price_per_gallon: 3.843, total_cost: 270.16, fuel_card_number: FC236166
fuel_purchase_id: FUEL00000067, trip_id: TRIP00055929, truck_id: TRK00043, driver_id: DRV00126, purchase_date: 2023-12-21 20:00:00, location_city: Miami, location_state: IL, gallons: 64.9, price_per_gallon: 4.413, total_cost: 286.4, fuel_card_number: FC602008
fuel_purchase_id: FUEL00000068, trip_id: TRIP00030190, truck_id: TRK00001, driver_id: DRV00099, purchase_date: 2023-01-22 13:00:00, location_city: Omaha, location_state: NV, gallons: 127.3, price_per_gallon: 4.289, total_cost: 545.99, fuel_card_number: FC928912
fuel_purchase_id: FUEL00000069, trip_id: TRIP00081047, truck_id: TRK00101, driver_id: DRV00129, purchase_date: 2024-11-06 15:00:00, location_city: Chicago, location_state: UT, gallons: 116.6, price_per_gallon: 3.355, total_cost: 391.19, fuel_card_number: FC723485
fuel_purchase_id: FUEL00000070, trip_id: TRIP00014898, truck_id: TRK00069, driver_id: DRV00044, purchase_date: 2022-07-12 22:00:00, location_city: Miami, location_state: IL, gallons: 142.3, price_per_gallon: 3.585, total_cost: 510.15, fuel_card_number: FC427374
fuel_purchase_id: FUEL00000071, trip_id: TRIP00006300, truck_id: TRK00068, driver_id: DRV00124, purchase_date: 2022-03-22 00:00:00, location_city: New York, location_state: PA, gallons: 199.1, price_per_gallon: 3.556, total_cost: 708.0, fuel_card_number: FC890029
fuel_purchase_id: FUEL00000072, trip_id: TRIP00002600, truck_id: TRK00054, driver_id: DRV00059, purchase_date: 2022-02-04 16:00:00, location_city: Chicago, location_state: CO, gallons: 159.5, price_per_gallon: 4.268, total_cost: 680.75, fuel_card_number: FC913382
fuel_purchase_id: FUEL00000073, trip_id: TRIP00070753, truck_id: TRK00048, driver_id: DRV00006, purchase_date: 2024-06-27 18:00:00, location_city: Las Vegas, location_state: MI, gallons: 56.8, price_per_gallon: 3.933, total_cost: 223.39, fuel_card_number: FC763951
fuel_purchase_id: FUEL00000074, trip_id: TRIP00058191, truck_id: TRK00112, driver_id: DRV00044, purchase_date: 2024-01-19 05:00:00, location_city: Milwaukee, location_state: PA, gallons: 56.9, price_per_gallon: 3.574, total_cost: 203.36, fuel_card_number: FC839069
fuel_purchase_id: FUEL00000075, trip_id: TRIP00039319, truck_id: TRK00073, driver_id: DRV00111, purchase_date: 2023-05-20 01:00:00, location_city: Denver, location_state: OH, gallons: 154.9, price_per_gallon: 3.993, total_cost: 618.52, fuel_card_number: FC147404
fuel_purchase_id: FUEL00000076, trip_id: TRIP00023436, truck_id: TRK00078, driver_id: DRV00092, purchase_date: 2022-10-27 08:00:00, location_city: Kansas City, location_state: CA, gallons: 93.5, price_per_gallon: 4.193, total_cost: 392.05, fuel_card_number: FC581291
fuel_purchase_id: FUEL00000077, trip_id: TRIP00048341, truck_id: TRK00106, driver_id: DRV00129, purchase_date: 2023-09-16 00:00:00, location_city: Kansas City, location_state: CO, gallons: 137.2, price_per_gallon: 4.149, total_cost: 569.24, fuel_card_number: FC378975
fuel_purchase_id: FUEL00000078, trip_id: TRIP00075447, truck_id: TRK00006, driver_id: DRV00150, purchase_date: 2024-08-28 19:00:00, location_city: Kansas City, location_state: TN, gallons: 114.0, price_per_gallon: 3.268, total_cost: 372.55, fuel_card_number: FC659051
fuel_purchase_id: FUEL00000079, trip_id: TRIP00069855, truck_id: TRK00071, driver_id: DRV00055, purchase_date: 2024-06-15 16:00:00, location_city: Chicago, location_state: OR, gallons: 124.2, price_per_gallon: 4.141, total_cost: 514.31, fuel_card_number: FC719469
fuel_purchase_id: FUEL00000080, trip_id: TRIP00048089, truck_id: TRK00115, driver_id: DRV00092, purchase_date: 2023-09-12 17:00:00, location_city: Columbus, location_state: TN, gallons: 132.3, price_per_gallon: 3.514, total_cost: 464.9, fuel_card_number: FC184045
fuel_purchase_id: FUEL00000081, trip_id: TRIP00016426, truck_id: TRK00096, driver_id: DRV00051, purchase_date: 2022-08-01 04:00:00, location_city: Salt Lake City, location_state: NC, gallons: 155.4, price_per_gallon: 3.7, total_cost: 574.98, fuel_card_number: FC659736
fuel_purchase_id: FUEL00000082, trip_id: TRIP00082004, truck_id: TRK00029, driver_id: DRV00102, purchase_date: 2024-11-19 07:00:00, location_city: Chicago, location_state: NY, gallons: 101.5, price_per_gallon: 3.671, total_cost: 372.61, fuel_card_number: FC762236
fuel_purchase_id: FUEL00000083, trip_id: TRIP00083070, truck_id: TRK00067, driver_id: DRV00111, purchase_date: 2024-12-03 20:00:00, location_city: Chicago, location_state: NC, gallons: 135.3, price_per_gallon: 3.83, total_cost: 518.2, fuel_card_number: FC622166
fuel_purchase_id: FUEL00000084, trip_id: TRIP00034386, truck_id: TRK00074, driver_id: DRV00058, purchase_date: 2023-03-16 08:00:00, location_city: Philadelphia, location_state: NC, gallons: 97.7, price_per_gallon: 3.362, total_cost: 328.47, fuel_card_number: FC253468
fuel_purchase_id: FUEL00000085, trip_id: TRIP00073196, truck_id: TRK00107, driver_id: DRV00029, purchase_date: 2024-07-28 15:00:00, location_city: Columbus, location_state: OR, gallons: 148.4, price_per_gallon: 3.756, total_cost: 557.39, fuel_card_number: FC876039
fuel_purchase_id: FUEL00000086, trip_id: TRIP00048601, truck_id: TRK00084, driver_id: DRV00098, purchase_date: 2023-09-19 10:00:00, location_city: Atlanta, location_state: MO, gallons: 112.4, price_per_gallon: 3.55, total_cost: 399.02, fuel_card_number: FC985049
fuel_purchase_id: FUEL00000087, trip_id: TRIP00066239, truck_id: TRK00096, driver_id: DRV00022, purchase_date: 2024-05-02 22:00:00, location_city: Omaha, location_state: IN, gallons: 50.3, price_per_gallon: 4.124, total_cost: 207.44, fuel_card_number: FC372340
fuel_purchase_id: FUEL00000088, trip_id: TRIP00067512, truck_id: TRK00096, driver_id: DRV00047, purchase_date: 2024-05-17 07:00:00, location_city: New York, location_state: IL, gallons: 127.4, price_per_gallon: 3.638, total_cost: 463.48, fuel_card_number: FC764314
fuel_purchase_id: FUEL00000089, trip_id: TRIP00062282, truck_id: TRK00103, driver_id: DRV00065, purchase_date: 2024-03-11 15:00:00, location_city: Los Angeles, location_state: MI, gallons: 88.2, price_per_gallon: 3.336, total_cost: 294.24, fuel_card_number: FC948220
fuel_purchase_id: FUEL00000090, trip_id: TRIP00063814, truck_id: TRK00001, driver_id: DRV00128, purchase_date: 2024-04-01 21:00:00, location_city: Philadelphia, location_state: OK, gallons: 76.4, price_per_gallon: 4.005, total_cost: 305.98, fuel_card_number: FC980129
fuel_purchase_id: FUEL00000091, trip_id: TRIP00024013, truck_id: TRK00097, driver_id: DRV00026, purchase_date: 2022-11-03 15:00:00, location_city: Atlanta, location_state: OK, gallons: 92.5, price_per_gallon: 3.746, total_cost: 346.5, fuel_card_number: FC584996
fuel_purchase_id: FUEL00000092, trip_id: TRIP00006323, truck_id: TRK00093, driver_id: DRV00016, purchase_date: 2022-03-22 09:00:00, location_city: Philadelphia, location_state: OR, gallons: 175.9, price_per_gallon: 3.418, total_cost: 601.23, fuel_card_number: FC226385
fuel_purchase_id: FUEL00000093, trip_id: TRIP00041688, truck_id: TRK00114, driver_id: DRV00018, purchase_date: 2023-06-21 22:00:00, location_city: Kansas City, location_state: OR, gallons: 60.7, price_per_gallon: 3.269, total_cost: 198.43, fuel_card_number: FC755013
fuel_purchase_id: FUEL00000094, trip_id: TRIP00045673, truck_id: TRK00029, driver_id: nan, purchase_date: 2023-08-10 13:00:00, location_city: Milwaukee, location_state: NE, gallons: 119.6, price_per_gallon: 3.342, total_cost: 399.7, fuel_card_number: FC975677
fuel_purchase_id: FUEL00000095, trip_id: TRIP00024611, truck_id: TRK00006, driver_id: DRV00058, purchase_date: 2022-11-10 14:00:00, location_city: Seattle, location_state: TX, gallons: 75.9, price_per_gallon: 3.962, total_cost: 300.72, fuel_card_number: FC682687
fuel_purchase_id: FUEL00000096, trip_id: TRIP00031766, truck_id: TRK00012, driver_id: DRV00022, purchase_date: 2023-02-12 09:00:00, location_city: Denver, location_state: WI, gallons: 87.6, price_per_gallon: 4.257, total_cost: 372.91, fuel_card_number: FC785652
fuel_purchase_id: FUEL00000097, trip_id: TRIP00081993, truck_id: TRK00101, driver_id: DRV00050, purchase_date: 2024-11-18 19:00:00, location_city: Los Angeles, location_state: PA, gallons: 85.8, price_per_gallon: 3.311, total_cost: 284.08, fuel_card_number: FC680938
fuel_purchase_id: FUEL00000098, trip_id: TRIP00022079, truck_id: TRK00055, driver_id: DRV00094, purchase_date: 2022-10-11 11:00:00, location_city: Chicago, location_state: TN, gallons: 108.4, price_per_gallon: 4.206, total_cost: 455.93, fuel_card_number: FC722580
fuel_purchase_id: FUEL00000099, trip_id: TRIP00077065, truck_id: TRK00098, driver_id: DRV00024, purchase_date: 2024-09-18 14:00:00, location_city: Oklahoma City, location_state: WI, gallons: 84.0, price_per_gallon: 3.975, total_cost: 333.9, fuel_card_number: FC780113
fuel_purchase_id: FUEL00000100, trip_id: TRIP00072728, truck_id: TRK00063, driver_id: DRV00029, purchase_date: 2024-07-24 19:00:00, location_city: Portland, location_state: WI, gallons: 88.8, price_per_gallon: 3.884, total_cost: 344.9, fuel_card_number: FC464849
fuel_purchase_id: FUEL00000101, trip_id: TRIP00013771, truck_id: TRK00090, driver_id: DRV00124, purchase_date: 2022-06-25 06:00:00, location_city: Phoenix, location_state: MI, gallons: 118.1, price_per_gallon: 3.555, total_cost: 419.85, fuel_card_number: FC104455
fuel_purchase_id: FUEL00000102, trip_id: TRIP00084157, truck_id: TRK00099, driver_id: DRV00057, purchase_date: 2024-12-17 09:00:00, location_city: Portland, location_state: NV, gallons: 132.9, price_per_gallon: 3.713, total_cost: 493.46, fuel_card_number: FC262565
fuel_purchase_id: FUEL00000103, trip_id: TRIP00052700, truck_id: TRK00093, driver_id: DRV00071, purchase_date: 2023-11-11 19:00:00, location_city: Nashville, location_state: PA, gallons: 150.6, price_per_gallon: 4.162, total_cost: 626.8, fuel_card_number: FC937719
