load_id: LOAD00000001, customer_id: CUST00183, route_id: RTE00019, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 19178, pieces: 13, revenue: 3045.23, fuel_surcharge: 406.72, accessorial_charges: 100, load_status: Completed, booking_type: Spot
load_id: LOAD00000012, customer_id: CUST00052, route_id: RTE00052, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 38553, pieces: 17, revenue: 1248.4, fuel_surcharge: 273.36, accessorial_charges: 75, load_status: Completed, booking_type: Spot
load_id: LOAD00000013, customer_id: CUST00168, route_id: RTE00002, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 40675, pieces: 1, revenue: 1541.78, fuel_surcharge: 153.34, accessorial_charges: 50, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000014, customer_id: CUST00049, route_id: RTE00032, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 32114, pieces: 12, revenue: 4948.67, fuel_surcharge: 451.8, accessorial_charges: 75, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000015, customer_id: CUST00089, route_id: RTE00006, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 11712, pieces: 24, revenue: 1286.22, fuel_surcharge: 189.0, accessorial_charges: 50, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000016, customer_id: CUST00032, route_id: RTE00015, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 24063, pieces: 5, revenue: 224.7, fuel_surcharge: 13.8, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000017, customer_id: CUST00022, route_id: RTE00054, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 34281, pieces: 18, revenue: 3521.84, fuel_surcharge: 295.83, accessorial_charges: 75, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000018, customer_id: CUST00093, route_id: RTE00038, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 35885, pieces: 9, revenue: 3622.99, fuel_surcharge: 314.64, accessorial_charges: 150, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000019, customer_id: CUST00092, route_id: RTE00012, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 19754, pieces: 28, revenue: 6009.91, fuel_surcharge: 453.91, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000020, customer_id: CUST00029, route_id: RTE00001, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 27587, pieces: 23, revenue: 1070.73, fuel_surcharge: 128.63, accessorial_charges: 150, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000021, customer_id: CUST00047, route_id: RTE00042, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 19296, pieces: 6, revenue: 6543.53, fuel_surcharge: 472.14, accessorial_charges: 0, load_status: Completed, booking_type: Contract
load_id: LOAD00000022, customer_id: CUST00018, route_id: RTE00009, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 18806, pieces: 18, revenue: 1754.79, fuel_surcharge: 149.26, accessorial_charges: 50, load_status: Completed, booking_type: Contract
load_id: LOAD00000023, customer_id: CUST00007, route_id: RTE00048, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 43889, pieces: 2, revenue: 5546.99, fuel_surcharge: 792.88, accessorial_charges: 50, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000024, customer_id: CUST00041, route_id: RTE00035, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 19601, pieces: 23, revenue: 1947.42, fuel_surcharge: 344.12, accessorial_charges: 100, load_status: Completed, booking_type: Contract
load_id: LOAD00000025, customer_id: CUST00036, route_id: RTE00034, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 20324, pieces: 20, revenue: 4479.29, fuel_surcharge: 792.88, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000026, customer_id: CUST00033, route_id: RTE00022, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 44197, pieces: 19, revenue: 1091.98, fuel_surcharge: 161.53, accessorial_charges: 0, load_status: Completed, booking_type: Contract
load_id: LOAD00000027, customer_id: CUST00065, route_id: RTE00058, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 17186, pieces: 5, revenue: 1195.13, fuel_surcharge: 98.61, accessorial_charges: 100, load_status: Completed, booking_type: Spot
load_id: LOAD00000028, customer_id: CUST00073, route_id: RTE00004, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 35037, pieces: 16, revenue: 4096.78, fuel_surcharge: 383.23, accessorial_charges: 75, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000029, customer_id: CUST00055, route_id: RTE00026, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 14471, pieces: 2, revenue: 2985.66, fuel_surcharge: 555.52, accessorial_charges: 75, load_status: Completed, booking_type: Spot
load_id: LOAD00000030, customer_id: CUST00136, route_id: RTE00010, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 41155, pieces: 13, revenue: 166.6, fuel_surcharge: 15.64, accessorial_charges: 200, load_status: Completed, booking_type: Contract
load_id: LOAD00000031, customer_id: CUST00135, route_id: RTE00042, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 20882, pieces: 19, revenue: 5386.12, fuel_surcharge: 472.14, accessorial_charges: 100, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000032, customer_id: CUST00076, route_id: RTE00006, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 44284, pieces: 22, revenue: 1241.88, fuel_surcharge: 189.0, accessorial_charges: 200, load_status: Completed, booking_type: Spot
load_id: LOAD00000033, customer_id: CUST00029, route_id: RTE00033, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 35731, pieces: 15, revenue: 397.65, fuel_surcharge: 40.08, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000034, customer_id: CUST00079, route_id: RTE00034, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 35141, pieces: 17, revenue: 5336.08, fuel_surcharge: 792.88, accessorial_charges: 75, load_status: Completed, booking_type: Contract
load_id: LOAD00000035, customer_id: CUST00016, route_id: RTE00026, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 32941, pieces: 8, revenue: 3333.54, fuel_surcharge: 555.52, accessorial_charges: 75, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000036, customer_id: CUST00081, route_id: RTE00020, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 27839, pieces: 3, revenue: 4255.48, fuel_surcharge: 738.48, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000037, customer_id: CUST00102, route_id: RTE00055, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 30111, pieces: 6, revenue: 3648.12, fuel_surcharge: 357.25, accessorial_charges: 200, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000038, customer_id: CUST00119, route_id: RTE00022, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 29891, pieces: 20, revenue: 1144.42, fuel_surcharge: 161.53, accessorial_charges: 50, load_status: Completed, booking_type: Spot
load_id: LOAD00000039, customer_id: CUST00044, route_id: RTE00025, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 37685, pieces: 15, revenue: 5362.03, fuel_surcharge: 565.38, accessorial_charges: 50, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000040, customer_id: CUST00114, route_id: RTE00016, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 15118, pieces: 7, revenue: 6049.16, fuel_surcharge: 463.93, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000041, customer_id: CUST00017, route_id: RTE00007, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 40655, pieces: 24, revenue: 4409.48, fuel_surcharge: 504.32, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000042, customer_id: CUST00027, route_id: RTE00033, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 25321, pieces: 12, revenue: 380.59, fuel_surcharge: 40.08, accessorial_charges: 50, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000043, customer_id: CUST00185, route_id: RTE00042, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 37867, pieces: 17, revenue: 7166.34, fuel_surcharge: 472.14, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000044, customer_id: CUST00190, route_id: RTE00056, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 38265, pieces: 28, revenue: 4320.1, fuel_surcharge: 309.24, accessorial_charges: 100, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000045, customer_id: CUST00060, route_id: RTE00031, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 33321, pieces: 13, revenue: 1397.3, fuel_surcharge: 185.6, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000046, customer_id: CUST00038, route_id: RTE00033, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 18519, pieces: 27, revenue: 349.73, fuel_surcharge: 40.08, accessorial_charges: 200, load_status: Completed, booking_type: Contract
load_id: LOAD00000047, customer_id: CUST00109, route_id: RTE00020, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 28659, pieces: 24, revenue: 3834.6, fuel_surcharge: 738.48, accessorial_charges: 150, load_status: Completed, booking_type: Contract
load_id: LOAD00000048, customer_id: CUST00185, route_id: RTE00053, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 34466, pieces: 8, revenue: 1820.31, fuel_surcharge: 209.79, accessorial_charges: 100, load_status: Completed, booking_type: Spot
load_id: LOAD00000049, customer_id: CUST00003, route_id: RTE00041, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 14164, pieces: 11, revenue: 2970.83, fuel_surcharge: 255.36, accessorial_charges: 200, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000050, customer_id: CUST00137, route_id: RTE00036, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 18373, pieces: 18, revenue: 586.48, fuel_surcharge: 86.46, accessorial_charges: 150, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000051, customer_id: CUST00114, route_id: RTE00053, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 18900, pieces: 18, revenue: 1908.52, fuel_surcharge: 209.79, accessorial_charges: 0, load_status: Completed, booking_type: Contract
load_id: LOAD00000052, customer_id: CUST00065, route_id: RTE00043, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 41933, pieces: 3, revenue: 2709.18, fuel_surcharge: 249.44, accessorial_charges: 50, load_status: Completed, booking_type: Spot
load_id: LOAD00000053, customer_id: CUST00039, route_id: RTE00053, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 31661, pieces: 8, revenue: 1772.1, fuel_surcharge: 209.79, accessorial_charges: 75, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000054, customer_id: CUST00101, route_id: RTE00045, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 26730, pieces: 12, revenue: 1558.56, fuel_surcharge: 137.31, accessorial_charges: 50, load_status: Completed, booking_type: Contract
load_id: LOAD00000055, customer_id: CUST00030, route_id: RTE00042, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 28665, pieces: 24, revenue: 6217.14, fuel_surcharge: 472.14, accessorial_charges: 75, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000056, customer_id: CUST00115, route_id: RTE00035, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 19151, pieces: 13, revenue: 1961.75, fuel_surcharge: 344.12, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000057, customer_id: CUST00018, route_id: RTE00051, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 42959, pieces: 27, revenue: 3290.19, fuel_surcharge: 460.0, accessorial_charges: 100, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000058, customer_id: CUST00181, route_id: RTE00008, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 32233, pieces: 7, revenue: 2008.44, fuel_surcharge: 114.3, accessorial_charges: 100, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000059, customer_id: CUST00156, route_id: RTE00056, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 36670, pieces: 4, revenue: 4010.78, fuel_surcharge: 309.24, accessorial_charges: 0, load_status: Completed, booking_type: Contract
load_id: LOAD00000060, customer_id: CUST00169, route_id: RTE00031, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 20352, pieces: 1, revenue: 1284.96, fuel_surcharge: 185.6, accessorial_charges: 50, load_status: Completed, booking_type: Contract
load_id: LOAD00000061, customer_id: CUST00028, route_id: RTE00038, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 16374, pieces: 13, revenue: 3035.92, fuel_surcharge: 314.64, accessorial_charges: 0, load_status: Completed, booking_type: Contract
load_id: LOAD00000062, customer_id: CUST00071, route_id: RTE00012, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 39516, pieces: 22, revenue: 6224.98, fuel_surcharge: 453.91, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000063, customer_id: CUST00170, route_id: RTE00008, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 28017, pieces: 15, revenue: 2294.59, fuel_surcharge: 114.3, accessorial_charges: 200, load_status: Completed, booking_type: Contract
load_id: LOAD00000064, customer_id: CUST00070, route_id: RTE00030, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 11745, pieces: 9, revenue: 5773.26, fuel_surcharge: 708.51, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000065, customer_id: CUST00084, route_id: RTE00022, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 21031, pieces: 4, revenue: 976.39, fuel_surcharge: 161.53, accessorial_charges: 75, load_status: Completed, booking_type: Contract
load_id: LOAD00000066, customer_id: CUST00169, route_id: RTE00039, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 18437, pieces: 27, revenue: 2288.24, fuel_surcharge: 344.52, accessorial_charges: 50, load_status: Completed, booking_type: Contract
load_id: LOAD00000067, customer_id: CUST00137, route_id: RTE00046, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 37048, pieces: 11, revenue: 5742.86, fuel_surcharge: 499.18, accessorial_charges: 200, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000068, customer_id: CUST00022, route_id: RTE00023, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 13615, pieces: 25, revenue: 2948.24, fuel_surcharge: 216.92, accessorial_charges: 200, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000069, customer_id: CUST00095, route_id: RTE00026, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 35683, pieces: 11, revenue: 2969.62, fuel_surcharge: 555.52, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000070, customer_id: CUST00091, route_id: RTE00013, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 36085, pieces: 1, revenue: 1182.65, fuel_surcharge: 141.33, accessorial_charges: 200, load_status: Completed, booking_type: Contract
load_id: LOAD00000071, customer_id: CUST00036, route_id: RTE00006, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 24520, pieces: 9, revenue: 1621.31, fuel_surcharge: 189.0, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000072, customer_id: CUST00166, route_id: RTE00037, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 38997, pieces: 25, revenue: 3709.21, fuel_surcharge: 537.81, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000073, customer_id: CUST00038, route_id: RTE00032, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 18015, pieces: 24, revenue: 5103.24, fuel_surcharge: 451.8, accessorial_charges: 75, load_status: Completed, booking_type: Contract
load_id: LOAD00000074, customer_id: CUST00139, route_id: RTE00016, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 25410, pieces: 4, revenue: 6266.36, fuel_surcharge: 463.93, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000075, customer_id: CUST00070, route_id: RTE00028, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 30564, pieces: 11, revenue: 4476.08, fuel_surcharge: 564.72, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000076, customer_id: CUST00177, route_id: RTE00050, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 26519, pieces: 1, revenue: 1193.23, fuel_surcharge: 170.88, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000077, customer_id: CUST00105, route_id: RTE00047, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 11063, pieces: 19, revenue: 926.86, fuel_surcharge: 76.16, accessorial_charges: 150, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000078, customer_id: CUST00060, route_id: RTE00036, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 34299, pieces: 28, revenue: 723.75, fuel_surcharge: 86.46, accessorial_charges: 75, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000079, customer_id: CUST00164, route_id: RTE00023, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 26669, pieces: 1, revenue: 2557.47, fuel_surcharge: 216.92, accessorial_charges: 100, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000080, customer_id: CUST00044, route_id: RTE00033, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 13728, pieces: 3, revenue: 422.11, fuel_surcharge: 40.08, accessorial_charges: 75, load_status: Completed, booking_type: Spot
load_id: LOAD00000081, customer_id: CUST00073, route_id: RTE00005, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 40180, pieces: 13, revenue: 4776.23, fuel_surcharge: 454.74, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000082, customer_id: CUST00030, route_id: RTE00052, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 35397, pieces: 13, revenue: 1367.63, fuel_surcharge: 273.36, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000083, customer_id: CUST00039, route_id: RTE00042, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 38608, pieces: 28, revenue: 6406.92, fuel_surcharge: 472.14, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000084, customer_id: CUST00175, route_id: RTE00001, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 34114, pieces: 12, revenue: 1098.31, fuel_surcharge: 128.63, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000085, customer_id: CUST00116, route_id: RTE00024, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 10131, pieces: 27, revenue: 3304.91, fuel_surcharge: 376.0, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000086, customer_id: CUST00061, route_id: RTE00021, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 11537, pieces: 22, revenue: 5554.06, fuel_surcharge: 590.24, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000087, customer_id: CUST00078, route_id: RTE00022, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 13783, pieces: 22, revenue: 1212.18, fuel_surcharge: 161.53, accessorial_charges: 200, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000088, customer_id: CUST00039, route_id: RTE00052, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 44525, pieces: 14, revenue: 1410.62, fuel_surcharge: 273.36, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000089, customer_id: CUST00071, route_id: RTE00002, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 28700, pieces: 16, revenue: 1444.9, fuel_surcharge: 153.34, accessorial_charges: 150, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000090, customer_id: CUST00032, route_id: RTE00046, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 28819, pieces: 4, revenue: 5287.59, fuel_surcharge: 499.18, accessorial_charges: 100, load_status: Completed, booking_type: Contract
load_id: LOAD00000091, customer_id: CUST00045, route_id: RTE00020, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 38641, pieces: 27, revenue: 3760.32, fuel_surcharge: 738.48, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000092, customer_id: CUST00194, route_id: RTE00058, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 28898, pieces: 3, revenue: 1106.05, fuel_surcharge: 98.61, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000093, customer_id: CUST00012, route_id: RTE00013, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 32111, pieces: 24, revenue: 1157.22, fuel_surcharge: 141.33, accessorial_charges: 150, load_status: Completed, booking_type: Contract
load_id: LOAD00000094, customer_id: CUST00030, route_id: RTE00023, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 25327, pieces: 11, revenue: 2947.63, fuel_surcharge: 216.92, accessorial_charges: 0, load_status: Completed, booking_type: Contract
load_id: LOAD00000095, customer_id: CUST00113, route_id: RTE00024, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 43626, pieces: 16, revenue: 3237.58, fuel_surcharge: 376.0, accessorial_charges: 100, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000096, customer_id: CUST00121, route_id: RTE00026, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 22625, pieces: 12, revenue: 3712.06, fuel_surcharge: 555.52, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000097, customer_id: CUST00166, route_id: RTE00055, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 21514, pieces: 16, revenue: 3886.42, fuel_surcharge: 357.25, accessorial_charges: 200, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000098, customer_id: CUST00035, route_id: RTE00031, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 16002, pieces: 6, revenue: 1463.9, fuel_surcharge: 185.6, accessorial_charges: 50, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000099, customer_id: CUST00047, route_id: RTE00018, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 13406, pieces: 22, revenue: 1467.1, fuel_surcharge: 187.6, accessorial_charges: 150, load_status: Completed, booking_type: Spot
load_id: LOAD00000100, customer_id: CUST00182, route_id: RTE00044, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 20122, pieces: 18, revenue: 7040.61, fuel_surcharge: 814.37, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000101, customer_id: CUST00063, route_id: RTE00016, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 29075, pieces: 3, revenue: 7516.54, fuel_surcharge: 463.93, accessorial_charges: 150, load_status: Completed, booking_type: Spot
load_id: LOAD00000102, customer_id: CUST00003, route_id: RTE00008, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 23688, pieces: 8, revenue: 1762.17, fuel_surcharge: 114.3, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000103, customer_id: CUST00165, route_id: RTE00014, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 17213, pieces: 2, revenue: 2333.14, fuel_surcharge: 228.76, accessorial_charges: 200, load_status: Completed, booking_type: Spot
load_id: LOAD00000104, customer_id: CUST00152, route_id: RTE00039, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 10076, pieces: 23, revenue: 1898.21, fuel_surcharge: 344.52, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000105, customer_id: CUST00181, route_id: RTE00045, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 28669, pieces: 10, revenue: 1182.91, fuel_surcharge: 137.31, accessorial_charges: 150, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000106, customer_id: CUST00156, route_id: RTE00037, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 25965, pieces: 28, revenue: 4423.72, fuel_surcharge: 537.81, accessorial_charges: 100, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000107, customer_id: CUST00107, route_id: RTE00047, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 23840, pieces: 5, revenue: 862.24, fuel_surcharge: 76.16, accessorial_charges: 0, load_status: Completed, booking_type: Contract
load_id: LOAD00000108, customer_id: CUST00171, route_id: RTE00010, load_date: 2022-01-02, load_type: Dry Van, weight_lbs: 32468, pieces: 23, revenue: 167.63, fuel_surcharge: 15.64, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000109, customer_id: CUST00034, route_id: RTE00056, load_date: 2022-01-02, load_type: Refrigerated, weight_lbs: 33193, pieces: 7, revenue: 4076.85, fuel_surcharge: 309.24, accessorial_charges: 100, load_status: Completed, booking_type: Spot
