route_id: RTE00001, origin_city: Atlanta, origin_state: GA, destination_city: Chicago, destination_state: IL, typical_distance_miles: 677, base_rate_per_mile: 1.7, fuel_surcharge_rate: 0.19, typical_transit_days: 1
route_id: RTE00035, origin_city: Las Vegas, origin_state: NV, destination_city: Dallas, destination_state: TX, typical_distance_miles: 1229, base_rate_per_mile: 1.69, fuel_surcharge_rate: 0.28, typical_transit_days: 2
route_id: RTE00036, origin_city: Las Vegas, origin_state: NV, destination_city: Los Angeles, destination_state: CA, typical_distance_miles: 262, base_rate_per_mile: 2.63, fuel_surcharge_rate: 0.33, typical_transit_days: 1
route_id: RTE00037, origin_city: Las Vegas, origin_state: NV, destination_city: New York, destination_state: NY, typical_distance_miles: 2561, base_rate_per_mile: 1.52, fuel_surcharge_rate: 0.21, typical_transit_days: 4
route_id: RTE00038, origin_city: Las Vegas, origin_state: NV, destination_city: Kansas City, destination_state: MO, typical_distance_miles: 1311, base_rate_per_mile: 2.71, fuel_surcharge_rate: 0.24, typical_transit_days: 2
route_id: RTE00039, origin_city: Minneapolis, origin_state: MN, destination_city: Atlanta, destination_state: GA, typical_distance_miles: 1044, base_rate_per_mile: 2.08, fuel_surcharge_rate: 0.33, typical_transit_days: 1
route_id: RTE00040, origin_city: Minneapolis, origin_state: MN, destination_city: Los Angeles, destination_state: CA, typical_distance_miles: 1749, base_rate_per_mile: 2.38, fuel_surcharge_rate: 0.3, typical_transit_days: 3
route_id: RTE00041, origin_city: Minneapolis, origin_state: MN, destination_city: Houston, destination_state: TX, typical_distance_miles: 1216, base_rate_per_mile: 2.75, fuel_surcharge_rate: 0.21, typical_transit_days: 2
route_id: RTE00042, origin_city: Charlotte, origin_state: NC, destination_city: Seattle, destination_state: WA, typical_distance_miles: 2623, base_rate_per_mile: 2.39, fuel_surcharge_rate: 0.18, typical_transit_days: 4
route_id: RTE00043, origin_city: Charlotte, origin_state: NC, destination_city: Denver, destination_state: CO, typical_distance_miles: 1559, base_rate_per_mile: 1.55, fuel_surcharge_rate: 0.16, typical_transit_days: 2
route_id: RTE00044, origin_city: Charlotte, origin_state: NC, destination_city: Portland, destination_state: OR, typical_distance_miles: 2627, base_rate_per_mile: 2.69, fuel_surcharge_rate: 0.31, typical_transit_days: 4
route_id: RTE00045, origin_city: Charlotte, origin_state: NC, destination_city: Memphis, destination_state: TN, typical_distance_miles: 597, base_rate_per_mile: 2.33, fuel_surcharge_rate: 0.23, typical_transit_days: 1
route_id: RTE00046, origin_city: Columbus, origin_state: OH, destination_city: Los Angeles, destination_state: CA, typical_distance_miles: 2269, base_rate_per_mile: 2.74, fuel_surcharge_rate: 0.22, typical_transit_days: 3
route_id: RTE00047, origin_city: Columbus, origin_state: OH, destination_city: Philadelphia, destination_state: PA, typical_distance_miles: 476, base_rate_per_mile: 2.06, fuel_surcharge_rate: 0.16, typical_transit_days: 1
route_id: RTE00048, origin_city: Columbus, origin_state: OH, destination_city: Portland, destination_state: OR, typical_distance_miles: 2332, base_rate_per_mile: 2.69, fuel_surcharge_rate: 0.34, typical_transit_days: 4
route_id: RTE00049, origin_city: Columbus, origin_state: OH, destination_city: Minneapolis, destination_state: MN, typical_distance_miles: 720, base_rate_per_mile: 2.62, fuel_surcharge_rate: 0.2, typical_transit_days: 1
route_id: RTE00050, origin_city: Columbus, origin_state: OH, destination_city: Kansas City, destination_state: MO, typical_distance_miles: 712, base_rate_per_mile: 1.94, fuel_surcharge_rate: 0.24, typical_transit_days: 1
route_id: RTE00051, origin_city: Memphis, origin_state: TN, destination_city: Los Angeles, destination_state: CA, typical_distance_miles: 1840, base_rate_per_mile: 1.85, fuel_surcharge_rate: 0.25, typical_transit_days: 3
route_id: RTE00052, origin_city: Memphis, origin_state: TN, destination_city: Minneapolis, destination_state: MN, typical_distance_miles: 804, base_rate_per_mile: 1.63, fuel_surcharge_rate: 0.34, typical_transit_days: 1
route_id: RTE00053, origin_city: Kansas City, origin_state: MO, destination_city: Atlanta, destination_state: GA, typical_distance_miles: 777, base_rate_per_mile: 2.35, fuel_surcharge_rate: 0.27, typical_transit_days: 1
route_id: RTE00054, origin_city: Kansas City, origin_state: MO, destination_city: Los Angeles, destination_state: CA, typical_distance_miles: 1557, base_rate_per_mile: 2.01, fuel_surcharge_rate: 0.19, typical_transit_days: 2
route_id: RTE00055, origin_city: Kansas City, origin_state: MO, destination_city: Miami, destination_state: FL, typical_distance_miles: 1429, base_rate_per_mile: 2.51, fuel_surcharge_rate: 0.25, typical_transit_days: 2
route_id: RTE00056, origin_city: Kansas City, origin_state: MO, destination_city: Portland, destination_state: OR, typical_distance_miles: 1718, base_rate_per_mile: 2.47, fuel_surcharge_rate: 0.18, typical_transit_days: 2
route_id: RTE00057, origin_city: Kansas City, origin_state: MO, destination_city: Charlotte, destination_state: NC, typical_distance_miles: 921, base_rate_per_mile: 2.45, fuel_surcharge_rate: 0.3, typical_transit_days: 1
route_id: RTE00058, origin_city: Kansas City, origin_state: MO, destination_city: Indianapolis, destination_state: IN, typical_distance_miles: 519, base_rate_per_mile: 2.27, fuel_surcharge_rate: 0.19, typical_transit_days: 1
