trip_id: TRIP00000001, load_id: LOAD00000001, driver_id: DRV00117, truck_id: TRK00035, trailer_id: TRL00167, dispatch_date: 2022-01-01, actual_distance_miles: 1314, actual_duration_hours: 26.2, fuel_gallons_used: 183.8, average_mpg: 7.15, idle_time_hours: 3.5, trip_status: Completed
trip_id: TRIP00000012, load_id: LOAD00000012, driver_id: DRV00088, truck_id: TRK00039, trailer_id: TRL00142, dispatch_date: 2022-01-01, actual_distance_miles: 861, actual_duration_hours: 14.3, fuel_gallons_used: 150.3, average_mpg: 5.73, idle_time_hours: 6.7, trip_status: Completed
trip_id: TRIP00000013, load_id: LOAD00000013, driver_id: DRV00070, truck_id: TRK00086, trailer_id: TRL00119, dispatch_date: 2022-01-01, actual_distance_miles: 689, actual_duration_hours: 12.4, fuel_gallons_used: 112.0, average_mpg: 6.15, idle_time_hours: 3.6, trip_status: Completed
trip_id: TRIP00000014, load_id: LOAD00000014, driver_id: DRV00009, truck_id: TRK00052, trailer_id: TRL00021, dispatch_date: 2022-01-01, actual_distance_miles: 2255, actual_duration_hours: 35.0, fuel_gallons_used: 377.1, average_mpg: 5.98, idle_time_hours: 8.7, trip_status: Completed
trip_id: TRIP00000015, load_id: LOAD00000015, driver_id: DRV00071, truck_id: TRK00120, trailer_id: TRL00132, dispatch_date: 2022-01-01, actual_distance_miles: 684, actual_duration_hours: 11.4, fuel_gallons_used: 92.9, average_mpg: 7.36, idle_time_hours: 4.4, trip_status: Completed
trip_id: TRIP00000016, load_id: LOAD00000016, driver_id: DRV00036, truck_id: TRK00054, trailer_id: TRL00048, dispatch_date: 2022-01-01, actual_distance_miles: 97, actual_duration_hours: 1.9, fuel_gallons_used: 14.7, average_mpg: 6.62, idle_time_hours: 8.8, trip_status: Completed
trip_id: TRIP00000017, load_id: LOAD00000017, driver_id: DRV00094, truck_id: TRK00049, trailer_id: TRL00171, dispatch_date: 2022-01-01, actual_distance_miles: 1571, actual_duration_hours: 25.5, fuel_gallons_used: 209.7, average_mpg: 7.49, idle_time_hours: 2.3, trip_status: Completed
trip_id: TRIP00000018, load_id: LOAD00000018, driver_id: DRV00125, truck_id: TRK00080, trailer_id: TRL00004, dispatch_date: 2022-01-01, actual_distance_miles: 1405, actual_duration_hours: 25.8, fuel_gallons_used: 192.5, average_mpg: 7.3, idle_time_hours: 5.9, trip_status: Completed
trip_id: TRIP00000019, load_id: LOAD00000019, driver_id: DRV00142, truck_id: TRK00040, trailer_id: TRL00095, dispatch_date: 2022-01-01, actual_distance_miles: 2554, actual_duration_hours: 44.7, fuel_gallons_used: 387.6, average_mpg: 6.59, idle_time_hours: 3.7, trip_status: Completed
trip_id: TRIP00000020, load_id: LOAD00000020, driver_id: DRV00118, truck_id: TRK00010, trailer_id: TRL00062, dispatch_date: 2022-01-01, actual_distance_miles: 664, actual_duration_hours: 10.3, fuel_gallons_used: 92.6, average_mpg: 7.17, idle_time_hours: 8.1, trip_status: Completed
trip_id: TRIP00000021, load_id: LOAD00000021, driver_id: DRV00066, truck_id: TRK00058, trailer_id: TRL00151, dispatch_date: 2022-01-01, actual_distance_miles: 2800, actual_duration_hours: 48.0, fuel_gallons_used: 443.0, average_mpg: 6.32, idle_time_hours: 6.1, trip_status: Completed
trip_id: TRIP00000022, load_id: LOAD00000022, driver_id: DRV00114, truck_id: TRK00078, trailer_id: TRL00061, dispatch_date: 2022-01-01, actual_distance_miles: 883, actual_duration_hours: 14.6, fuel_gallons_used: 154.1, average_mpg: 5.73, idle_time_hours: 9.7, trip_status: Completed
trip_id: TRIP00000023, load_id: LOAD00000023, driver_id: DRV00117, truck_id: TRK00026, trailer_id: TRL00027, dispatch_date: 2022-01-01, actual_distance_miles: 2495, actual_duration_hours: 46.4, fuel_gallons_used: 379.8, average_mpg: 6.57, idle_time_hours: 9.8, trip_status: Completed
trip_id: TRIP00000024, load_id: LOAD00000024, driver_id: DRV00082, truck_id: TRK00001, trailer_id: TRL00081, dispatch_date: 2022-01-01, actual_distance_miles: 1272, actual_duration_hours: 19.9, fuel_gallons_used: 200.9, average_mpg: 6.33, idle_time_hours: 3.9, trip_status: Completed
trip_id: TRIP00000025, load_id: LOAD00000025, driver_id: DRV00053, truck_id: TRK00018, trailer_id: TRL00024, dispatch_date: 2022-01-01, actual_distance_miles: 2415, actual_duration_hours: 41.3, fuel_gallons_used: 372.1, average_mpg: 6.49, idle_time_hours: 9.7, trip_status: Completed
trip_id: TRIP00000026, load_id: LOAD00000026, driver_id: DRV00102, truck_id: TRK00076, trailer_id: TRL00163, dispatch_date: 2022-01-01, actual_distance_miles: 564, actual_duration_hours: 9.4, fuel_gallons_used: 92.2, average_mpg: 6.12, idle_time_hours: 3.1, trip_status: Completed
trip_id: TRIP00000027, load_id: LOAD00000027, driver_id: DRV00050, truck_id: TRK00019, trailer_id: TRL00055, dispatch_date: 2022-01-01, actual_distance_miles: 522, actual_duration_hours: 8.3, fuel_gallons_used: 82.9, average_mpg: 6.3, idle_time_hours: 6.6, trip_status: Completed
trip_id: TRIP00000028, load_id: LOAD00000028, driver_id: DRV00114, truck_id: TRK00111, trailer_id: TRL00067, dispatch_date: 2022-01-01, actual_distance_miles: 1979, actual_duration_hours: 34.2, fuel_gallons_used: 333.2, average_mpg: 5.94, idle_time_hours: 4.3, trip_status: Completed
trip_id: TRIP00000029, load_id: LOAD00000029, driver_id: DRV00139, truck_id: TRK00024, trailer_id: TRL00039, dispatch_date: 2022-01-01, actual_distance_miles: 2006, actual_duration_hours: 32.7, fuel_gallons_used: 268.5, average_mpg: 7.47, idle_time_hours: 2.0, trip_status: Completed
trip_id: TRIP00000030, load_id: LOAD00000030, driver_id: DRV00088, truck_id: TRK00076, trailer_id: TRL00088, dispatch_date: 2022-01-01, actual_distance_miles: 91, actual_duration_hours: 1.6, fuel_gallons_used: 16.0, average_mpg: 5.7, idle_time_hours: 9.7, trip_status: Completed
trip_id: TRIP00000031, load_id: LOAD00000031, driver_id: DRV00036, truck_id: TRK00071, trailer_id: TRL00136, dispatch_date: 2022-01-01, actual_distance_miles: 2615, actual_duration_hours: 48.0, fuel_gallons_used: 418.4, average_mpg: 6.25, idle_time_hours: 10.6, trip_status: Completed
trip_id: TRIP00000032, load_id: LOAD00000032, driver_id: DRV00085, truck_id: TRK00069, trailer_id: TRL00174, dispatch_date: 2022-01-01, actual_distance_miles: 700, actual_duration_hours: 11.9, fuel_gallons_used: 106.5, average_mpg: 6.57, idle_time_hours: 6.6, trip_status: Completed
trip_id: TRIP00000033, load_id: LOAD00000033, driver_id: DRV00083, truck_id: TRK00064, trailer_id: TRL00153, dispatch_date: 2022-01-01, actual_distance_miles: 176, actual_duration_hours: 3.2, fuel_gallons_used: 24.8, average_mpg: 7.11, idle_time_hours: 6.1, trip_status: Completed
trip_id: TRIP00000034, load_id: LOAD00000034, driver_id: DRV00053, truck_id: TRK00054, trailer_id: TRL00084, dispatch_date: 2022-01-01, actual_distance_miles: 2464, actual_duration_hours: 40.9, fuel_gallons_used: 393.6, average_mpg: 6.26, idle_time_hours: 11.9, trip_status: Completed
trip_id: TRIP00000035, load_id: LOAD00000035, driver_id: DRV00113, truck_id: TRK00009, trailer_id: TRL00100, dispatch_date: 2022-01-01, actual_distance_miles: 2054, actual_duration_hours: 32.7, fuel_gallons_used: 301.6, average_mpg: 6.81, idle_time_hours: 5.1, trip_status: Completed
trip_id: TRIP00000036, load_id: LOAD00000036, driver_id: DRV00124, truck_id: TRK00038, trailer_id: TRL00083, dispatch_date: 2022-01-01, actual_distance_miles: 2285, actual_duration_hours: 42.8, fuel_gallons_used: 344.1, average_mpg: 6.64, idle_time_hours: 6.9, trip_status: Completed
trip_id: TRIP00000037, load_id: LOAD00000037, driver_id: DRV00018, truck_id: TRK00085, trailer_id: TRL00097, dispatch_date: 2022-01-01, actual_distance_miles: 1535, actual_duration_hours: 26.5, fuel_gallons_used: 250.0, average_mpg: 6.14, idle_time_hours: 10.9, trip_status: Completed
trip_id: TRIP00000038, load_id: LOAD00000038, driver_id: DRV00033, truck_id: TRK00089, trailer_id: TRL00024, dispatch_date: 2022-01-01, actual_distance_miles: 598, actual_duration_hours: 9.6, fuel_gallons_used: 95.8, average_mpg: 6.24, idle_time_hours: 11.0, trip_status: Completed
trip_id: TRIP00000039, load_id: LOAD00000039, driver_id: DRV00112, truck_id: TRK00062, trailer_id: TRL00067, dispatch_date: 2022-01-01, actual_distance_miles: 3143, actual_duration_hours: 57.7, fuel_gallons_used: 560.2, average_mpg: 5.61, idle_time_hours: 6.5, trip_status: Completed
trip_id: TRIP00000040, load_id: LOAD00000040, driver_id: DRV00044, truck_id: TRK00001, trailer_id: TRL00120, dispatch_date: 2022-01-01, actual_distance_miles: 2835, actual_duration_hours: 45.5, fuel_gallons_used: 400.4, average_mpg: 7.08, idle_time_hours: 7.0, trip_status: Completed
trip_id: TRIP00000041, load_id: LOAD00000041, driver_id: DRV00124, truck_id: TRK00020, trailer_id: TRL00055, dispatch_date: 2022-01-01, actual_distance_miles: 1627, actual_duration_hours: 32.0, fuel_gallons_used: 222.0, average_mpg: 7.33, idle_time_hours: 6.7, trip_status: Completed
trip_id: TRIP00000042, load_id: LOAD00000042, driver_id: DRV00020, truck_id: TRK00089, trailer_id: TRL00069, dispatch_date: 2022-01-01, actual_distance_miles: 164, actual_duration_hours: 3.1, fuel_gallons_used: 24.8, average_mpg: 6.61, idle_time_hours: 11.5, trip_status: Completed
trip_id: TRIP00000043, load_id: LOAD00000043, driver_id: DRV00026, truck_id: TRK00010, trailer_id: TRL00168, dispatch_date: 2022-01-01, actual_distance_miles: 2583, actual_duration_hours: 48.6, fuel_gallons_used: 467.9, average_mpg: 5.52, idle_time_hours: 11.7, trip_status: Completed
trip_id: TRIP00000044, load_id: LOAD00000044, driver_id: DRV00102, truck_id: TRK00079, trailer_id: TRL00048, dispatch_date: 2022-01-01, actual_distance_miles: 1796, actual_duration_hours: 34.8, fuel_gallons_used: 326.0, average_mpg: 5.51, idle_time_hours: 7.8, trip_status: Completed
trip_id: TRIP00000045, load_id: LOAD00000045, driver_id: DRV00117, truck_id: TRK00061, trailer_id: TRL00070, dispatch_date: 2022-01-01, actual_distance_miles: 658, actual_duration_hours: 11.4, fuel_gallons_used: 89.9, average_mpg: 7.32, idle_time_hours: 6.9, trip_status: Completed
trip_id: TRIP00000046, load_id: LOAD00000046, driver_id: DRV00020, truck_id: TRK00007, trailer_id: TRL00031, dispatch_date: 2022-01-01, actual_distance_miles: 176, actual_duration_hours: 3.0, fuel_gallons_used: 29.6, average_mpg: 5.95, idle_time_hours: 9.9, trip_status: Completed
trip_id: TRIP00000047, load_id: LOAD00000047, driver_id: DRV00023, truck_id: TRK00015, trailer_id: TRL00034, dispatch_date: 2022-01-01, actual_distance_miles: 2159, actual_duration_hours: 34.7, fuel_gallons_used: 290.6, average_mpg: 7.43, idle_time_hours: 5.1, trip_status: Completed
trip_id: TRIP00000048, load_id: LOAD00000048, driver_id: DRV00085, truck_id: TRK00058, trailer_id: TRL00048, dispatch_date: 2022-01-01, actual_distance_miles: 818, actual_duration_hours: 16.3, fuel_gallons_used: 110.7, average_mpg: 7.39, idle_time_hours: 2.7, trip_status: Completed
trip_id: TRIP00000049, load_id: LOAD00000049, driver_id: DRV00089, truck_id: TRK00090, trailer_id: TRL00117, dispatch_date: 2022-01-01, actual_distance_miles: 1304, actual_duration_hours: 23.8, fuel_gallons_used: 177.9, average_mpg: 7.33, idle_time_hours: 3.1, trip_status: Completed
trip_id: TRIP00000050, load_id: LOAD00000050, driver_id: DRV00148, truck_id: TRK00050, trailer_id: TRL00086, dispatch_date: 2022-01-01, actual_distance_miles: 266, actual_duration_hours: 4.5, fuel_gallons_used: 39.1, average_mpg: 6.81, idle_time_hours: 8.8, trip_status: Completed
trip_id: TRIP00000051, load_id: LOAD00000051, driver_id: DRV00134, truck_id: TRK00026, trailer_id: TRL00168, dispatch_date: 2022-01-01, actual_distance_miles: 788, actual_duration_hours: 13.3, fuel_gallons_used: 121.0, average_mpg: 6.51, idle_time_hours: 6.7, trip_status: Completed
trip_id: TRIP00000052, load_id: LOAD00000052, driver_id: DRV00065, truck_id: TRK00004, trailer_id: TRL00061, dispatch_date: 2022-01-01, actual_distance_miles: 1614, actual_duration_hours: 31.5, fuel_gallons_used: 255.8, average_mpg: 6.31, idle_time_hours: 4.6, trip_status: Completed
trip_id: TRIP00000053, load_id: LOAD00000053, driver_id: DRV00148, truck_id: TRK00024, trailer_id: TRL00149, dispatch_date: 2022-01-01, actual_distance_miles: 764, actual_duration_hours: 14.8, fuel_gallons_used: 121.9, average_mpg: 6.27, idle_time_hours: 8.3, trip_status: Completed
trip_id: TRIP00000054, load_id: LOAD00000054, driver_id: DRV00047, truck_id: TRK00063, trailer_id: TRL00005, dispatch_date: 2022-01-01, actual_distance_miles: 598, actual_duration_hours: 9.7, fuel_gallons_used: 80.2, average_mpg: 7.46, idle_time_hours: 4.6, trip_status: Completed
trip_id: TRIP00000055, load_id: LOAD00000055, driver_id: DRV00085, truck_id: TRK00004, trailer_id: TRL00054, dispatch_date: 2022-01-01, actual_distance_miles: 2615, actual_duration_hours: 40.9, fuel_gallons_used: 386.8, average_mpg: 6.76, idle_time_hours: 10.6, trip_status: Completed
trip_id: TRIP00000056, load_id: LOAD00000056, driver_id: DRV00126, truck_id: TRK00015, trailer_id: TRL00064, dispatch_date: 2022-01-01, actual_distance_miles: 1216, actual_duration_hours: 24.0, fuel_gallons_used: 196.8, average_mpg: 6.18, idle_time_hours: 7.3, trip_status: Completed
trip_id: TRIP00000057, load_id: LOAD00000057, driver_id: DRV00001, truck_id: TRK00073, trailer_id: TRL00097, dispatch_date: 2022-01-01, actual_distance_miles: 1961, actual_duration_hours: 33.9, fuel_gallons_used: 290.9, average_mpg: 6.74, idle_time_hours: 4.9, trip_status: Completed
trip_id: TRIP00000058, load_id: LOAD00000058, driver_id: DRV00121, truck_id: TRK00030, trailer_id: TRL00170, dispatch_date: 2022-01-01, actual_distance_miles: 806, actual_duration_hours: 13.1, fuel_gallons_used: 123.2, average_mpg: 6.54, idle_time_hours: 4.6, trip_status: Completed
trip_id: TRIP00000059, load_id: LOAD00000059, driver_id: DRV00108, truck_id: TRK00090, trailer_id: TRL00072, dispatch_date: 2022-01-01, actual_distance_miles: 1788, actual_duration_hours: 27.7, fuel_gallons_used: 267.7, average_mpg: 6.68, idle_time_hours: 3.6, trip_status: Completed
trip_id: TRIP00000060, load_id: LOAD00000060, driver_id: DRV00041, truck_id: TRK00054, trailer_id: TRL00142, dispatch_date: 2022-01-01, actual_distance_miles: 681, actual_duration_hours: 10.6, fuel_gallons_used: 92.8, average_mpg: 7.34, idle_time_hours: 4.6, trip_status: Completed
trip_id: TRIP00000061, load_id: LOAD00000061, driver_id: DRV00114, truck_id: TRK00009, trailer_id: TRL00171, dispatch_date: 2022-01-01, actual_distance_miles: 1351, actual_duration_hours: 21.4, fuel_gallons_used: 208.5, average_mpg: 6.48, idle_time_hours: 2.8, trip_status: Completed
trip_id: TRIP00000062, load_id: LOAD00000062, driver_id: DRV00104, truck_id: TRK00002, trailer_id: TRL00010, dispatch_date: 2022-01-01, actual_distance_miles: 2483, actual_duration_hours: 41.3, fuel_gallons_used: 426.6, average_mpg: 5.82, idle_time_hours: 2.2, trip_status: Completed
trip_id: TRIP00000063, load_id: LOAD00000063, driver_id: DRV00079, truck_id: TRK00115, trailer_id: TRL00103, dispatch_date: 2022-01-01, actual_distance_miles: 787, actual_duration_hours: 12.9, fuel_gallons_used: 118.0, average_mpg: 6.67, idle_time_hours: 5.4, trip_status: Completed
trip_id: TRIP00000064, load_id: LOAD00000064, driver_id: DRV00050, truck_id: TRK00043, trailer_id: TRL00152, dispatch_date: 2022-01-01, actual_distance_miles: 2197, actual_duration_hours: 41.0, fuel_gallons_used: 313.4, average_mpg: 7.01, idle_time_hours: 11.6, trip_status: Completed
trip_id: TRIP00000065, load_id: LOAD00000065, driver_id: DRV00003, truck_id: TRK00082, trailer_id: TRL00023, dispatch_date: 2022-01-01, actual_distance_miles: 598, actual_duration_hours: 10.8, fuel_gallons_used: 89.9, average_mpg: 6.65, idle_time_hours: 10.9, trip_status: Completed
trip_id: TRIP00000066, load_id: LOAD00000066, driver_id: DRV00124, truck_id: TRK00050, trailer_id: TRL00127, dispatch_date: 2022-01-01, actual_distance_miles: 1105, actual_duration_hours: 21.1, fuel_gallons_used: 168.4, average_mpg: 6.56, idle_time_hours: 7.5, trip_status: Completed
trip_id: TRIP00000067, load_id: LOAD00000067, driver_id: nan, truck_id: TRK00112, trailer_id: TRL00040, dispatch_date: 2022-01-01, actual_distance_miles: 2433, actual_duration_hours: 40.0, fuel_gallons_used: 427.6, average_mpg: 5.69, idle_time_hours: 9.2, trip_status: Completed
trip_id: TRIP00000068, load_id: LOAD00000068, driver_id: DRV00083, truck_id: TRK00091, trailer_id: TRL00131, dispatch_date: 2022-01-01, actual_distance_miles: 1308, actual_duration_hours: 22.5, fuel_gallons_used: 233.6, average_mpg: 5.6, idle_time_hours: 5.8, trip_status: Completed
trip_id: TRIP00000069, load_id: LOAD00000069, driver_id: DRV00066, truck_id: TRK00092, trailer_id: TRL00093, dispatch_date: 2022-01-01, actual_distance_miles: 2119, actual_duration_hours: 41.5, fuel_gallons_used: 328.5, average_mpg: 6.45, idle_time_hours: 4.1, trip_status: Completed
trip_id: TRIP00000070, load_id: LOAD00000070, driver_id: DRV00077, truck_id: nan, trailer_id: TRL00040, dispatch_date: 2022-01-01, actual_distance_miles: 711, actual_duration_hours: 14.2, fuel_gallons_used: 105.5, average_mpg: 6.74, idle_time_hours: 9.7, trip_status: Completed
trip_id: TRIP00000071, load_id: LOAD00000071, driver_id: DRV00147, truck_id: TRK00013, trailer_id: TRL00162, dispatch_date: 2022-01-01, actual_distance_miles: 708, actual_duration_hours: 12.5, fuel_gallons_used: 117.8, average_mpg: 6.01, idle_time_hours: 3.5, trip_status: Completed
trip_id: TRIP00000072, load_id: LOAD00000072, driver_id: DRV00092, truck_id: TRK00108, trailer_id: TRL00095, dispatch_date: 2022-01-02, actual_distance_miles: 2686, actual_duration_hours: 43.0, fuel_gallons_used: 444.7, average_mpg: 6.04, idle_time_hours: 10.2, trip_status: Completed
trip_id: TRIP00000073, load_id: LOAD00000073, driver_id: DRV00055, truck_id: TRK00025, trailer_id: TRL00105, dispatch_date: 2022-01-02, actual_distance_miles: 2322, actual_duration_hours: 38.0, fuel_gallons_used: 384.4, average_mpg: 6.04, idle_time_hours: 8.7, trip_status: Completed
trip_id: TRIP00000074, load_id: LOAD00000074, driver_id: DRV00051, truck_id: nan, trailer_id: TRL00141, dispatch_date: 2022-01-02, actual_distance_miles: 2937, actual_duration_hours: 51.6, fuel_gallons_used: 428.8, average_mpg: 6.85, idle_time_hours: 9.7, trip_status: Completed
trip_id: TRIP00000075, load_id: LOAD00000075, driver_id: DRV00041, truck_id: TRK00008, trailer_id: TRL00113, dispatch_date: 2022-01-02, actual_distance_miles: 2225, actual_duration_hours: 39.9, fuel_gallons_used: 330.6, average_mpg: 6.73, idle_time_hours: 9.7, trip_status: Completed
trip_id: TRIP00000076, load_id: LOAD00000076, driver_id: DRV00129, truck_id: TRK00048, trailer_id: TRL00092, dispatch_date: 2022-01-02, actual_distance_miles: 751, actual_duration_hours: 12.6, fuel_gallons_used: 109.2, average_mpg: 6.88, idle_time_hours: 4.0, trip_status: Completed
trip_id: TRIP00000077, load_id: LOAD00000077, driver_id: DRV00037, truck_id: TRK00025, trailer_id: TRL00033, dispatch_date: 2022-01-02, actual_distance_miles: 485, actual_duration_hours: 9.1, fuel_gallons_used: 75.5, average_mpg: 6.42, idle_time_hours: 10.9, trip_status: Completed
trip_id: TRIP00000078, load_id: LOAD00000078, driver_id: DRV00110, truck_id: TRK00098, trailer_id: TRL00178, dispatch_date: 2022-01-02, actual_distance_miles: 272, actual_duration_hours: 4.7, fuel_gallons_used: 38.6, average_mpg: 7.04, idle_time_hours: 3.0, trip_status: Completed
trip_id: TRIP00000079, load_id: LOAD00000079, driver_id: DRV00014, truck_id: TRK00051, trailer_id: TRL00014, dispatch_date: 2022-01-02, actual_distance_miles: 1283, actual_duration_hours: 21.0, fuel_gallons_used: 231.6, average_mpg: 5.54, idle_time_hours: 5.5, trip_status: Completed
trip_id: TRIP00000080, load_id: LOAD00000080, driver_id: DRV00053, truck_id: TRK00067, trailer_id: TRL00112, dispatch_date: 2022-01-02, actual_distance_miles: 165, actual_duration_hours: 3.1, fuel_gallons_used: 25.2, average_mpg: 6.56, idle_time_hours: 5.3, trip_status: Completed
trip_id: TRIP00000081, load_id: LOAD00000081, driver_id: DRV00124, truck_id: TRK00052, trailer_id: TRL00138, dispatch_date: 2022-01-02, actual_distance_miles: 1736, actual_duration_hours: 31.5, fuel_gallons_used: 304.0, average_mpg: 5.71, idle_time_hours: 8.7, trip_status: Completed
trip_id: TRIP00000082, load_id: LOAD00000082, driver_id: DRV00060, truck_id: TRK00061, trailer_id: TRL00158, dispatch_date: 2022-01-02, actual_distance_miles: 848, actual_duration_hours: 16.8, fuel_gallons_used: 113.8, average_mpg: 7.45, idle_time_hours: 8.4, trip_status: Completed
trip_id: TRIP00000083, load_id: LOAD00000083, driver_id: DRV00013, truck_id: TRK00059, trailer_id: TRL00117, dispatch_date: 2022-01-02, actual_distance_miles: 2689, actual_duration_hours: 43.8, fuel_gallons_used: 373.0, average_mpg: 7.21, idle_time_hours: 4.3, trip_status: Completed
trip_id: TRIP00000084, load_id: LOAD00000084, driver_id: DRV00039, truck_id: TRK00014, trailer_id: TRL00144, dispatch_date: 2022-01-02, actual_distance_miles: 698, actual_duration_hours: 13.4, fuel_gallons_used: 116.1, average_mpg: 6.01, idle_time_hours: 4.5, trip_status: Completed
trip_id: TRIP00000085, load_id: LOAD00000085, driver_id: DRV00035, truck_id: TRK00120, trailer_id: TRL00081, dispatch_date: 2022-01-02, actual_distance_miles: 1227, actual_duration_hours: 22.1, fuel_gallons_used: 173.6, average_mpg: 7.07, idle_time_hours: 6.8, trip_status: Completed
trip_id: TRIP00000086, load_id: LOAD00000086, driver_id: DRV00121, truck_id: TRK00112, trailer_id: TRL00087, dispatch_date: 2022-01-02, actual_distance_miles: 2150, actual_duration_hours: 33.2, fuel_gallons_used: 302.0, average_mpg: 7.12, idle_time_hours: 3.8, trip_status: Completed
trip_id: TRIP00000087, load_id: LOAD00000087, driver_id: DRV00141, truck_id: TRK00096, trailer_id: TRL00074, dispatch_date: 2022-01-02, actual_distance_miles: 571, actual_duration_hours: 8.9, fuel_gallons_used: 88.1, average_mpg: 6.48, idle_time_hours: 5.1, trip_status: Completed
trip_id: TRIP00000088, load_id: LOAD00000088, driver_id: DRV00078, truck_id: nan, trailer_id: TRL00072, dispatch_date: 2022-01-02, actual_distance_miles: 864, actual_duration_hours: 14.5, fuel_gallons_used: 127.8, average_mpg: 6.76, idle_time_hours: 12.0, trip_status: Completed
trip_id: TRIP00000089, load_id: LOAD00000089, driver_id: DRV00110, truck_id: TRK00064, trailer_id: TRL00176, dispatch_date: 2022-01-02, actual_distance_miles: 689, actual_duration_hours: 12.6, fuel_gallons_used: 102.7, average_mpg: 6.71, idle_time_hours: 10.3, trip_status: Completed
trip_id: TRIP00000090, load_id: LOAD00000090, driver_id: DRV00049, truck_id: TRK00072, trailer_id: TRL00152, dispatch_date: 2022-01-02, actual_distance_miles: 2318, actual_duration_hours: 41.9, fuel_gallons_used: 347.0, average_mpg: 6.68, idle_time_hours: 5.5, trip_status: Completed
trip_id: TRIP00000091, load_id: LOAD00000091, driver_id: DRV00033, truck_id: TRK00112, trailer_id: TRL00002, dispatch_date: 2022-01-02, actual_distance_miles: 2323, actual_duration_hours: 39.1, fuel_gallons_used: 322.6, average_mpg: 7.2, idle_time_hours: 10.9, trip_status: Completed
trip_id: TRIP00000092, load_id: LOAD00000092, driver_id: DRV00054, truck_id: TRK00050, trailer_id: TRL00056, dispatch_date: 2022-01-02, actual_distance_miles: 543, actual_duration_hours: 9.4, fuel_gallons_used: 83.4, average_mpg: 6.51, idle_time_hours: 11.0, trip_status: Completed
trip_id: TRIP00000093, load_id: LOAD00000093, driver_id: DRV00020, truck_id: TRK00059, trailer_id: TRL00168, dispatch_date: 2022-01-02, actual_distance_miles: 699, actual_duration_hours: 13.9, fuel_gallons_used: 100.0, average_mpg: 6.99, idle_time_hours: 6.0, trip_status: Completed
