incident_id: INC00000001, trip_id: TRIP00036079, truck_id: TRK00006, driver_id: DRV00006, incident_date: 2023-04-09 14:00:00, incident_type: Moving Violation, location_city: Columbus, location_state: PA, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 12629.26, cargo_damage_cost: 0.0, claim_amount: 12629.26, preventable_flag: True, description: Severe incident involving equipment
incident_id: INC00000012, trip_id: TRIP00048458, truck_id: TRK00007, driver_id: DRV00147, incident_date: 2023-09-16 03:00:00, incident_type: Customer Complaint, location_city: Omaha, location_state: AZ, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Severe incident involving equipment
incident_id: INC00000013, trip_id: TRIP00055475, truck_id: TRK00040, driver_id: DRV00104, incident_date: 2023-12-16 18:00:00, incident_type: Customer Complaint, location_city: Indianapolis, location_state: TX, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Moderate incident involving equipment
incident_id: INC00000014, trip_id: TRIP00045572, truck_id: TRK00058, driver_id: DRV00113, incident_date: 2023-08-10 17:00:00, incident_type: DOT Violation, location_city: Portland, location_state: TN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Minor incident involving weather
incident_id: INC00000015, trip_id: TRIP00043170, truck_id: TRK00026, driver_id: DRV00058, incident_date: 2023-07-08 02:00:00, incident_type: Accident, location_city: Atlanta, location_state: TN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 4497.67, cargo_damage_cost: 0.0, claim_amount: 4497.67, preventable_flag: True, description: Moderate incident involving traffic
incident_id: INC00000016, trip_id: TRIP00033560, truck_id: TRK00099, driver_id: DRV00079, incident_date: 2023-03-07 03:00:00, incident_type: DOT Violation, location_city: Chicago, location_state: AZ, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 3082.44, cargo_damage_cost: 0.0, claim_amount: 3082.44, preventable_flag: False, description: Moderate incident involving weather
incident_id: INC00000017, trip_id: TRIP00078434, truck_id: TRK00007, driver_id: DRV00102, incident_date: 2024-10-05 04:00:00, incident_type: Customer Complaint, location_city: Salt Lake City, location_state: NY, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Severe incident involving equipment
incident_id: INC00000018, trip_id: TRIP00051688, truck_id: TRK00039, driver_id: DRV00132, incident_date: 2023-10-27 13:00:00, incident_type: DOT Violation, location_city: Miami, location_state: WI, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 9695.95, cargo_damage_cost: 0.0, claim_amount: 9695.95, preventable_flag: True, description: Severe incident involving weather
incident_id: INC00000019, trip_id: TRIP00064255, truck_id: TRK00020, driver_id: DRV00119, incident_date: 2024-04-05 09:00:00, incident_type: Accident, location_city: Miami, location_state: TN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 5672.35, cargo_damage_cost: 0.0, claim_amount: 5672.35, preventable_flag: True, description: Severe incident involving traffic
incident_id: INC00000020, trip_id: TRIP00005520, truck_id: TRK00108, driver_id: DRV00122, incident_date: 2022-03-11 09:00:00, incident_type: Accident, location_city: Milwaukee, location_state: WI, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 12824.5, cargo_damage_cost: 0.0, claim_amount: 12824.5, preventable_flag: False, description: Moderate incident involving weather
incident_id: INC00000021, trip_id: TRIP00028811, truck_id: TRK00086, driver_id: DRV00066, incident_date: 2023-01-06 04:00:00, incident_type: Moving Violation, location_city: Portland, location_state: AZ, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Minor incident involving other driver
incident_id: INC00000022, trip_id: TRIP00030106, truck_id: TRK00061, driver_id: DRV00058, incident_date: 2023-01-20 04:00:00, incident_type: Accident, location_city: Houston, location_state: NY, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 19400.81, cargo_damage_cost: 0.0, claim_amount: 19400.81, preventable_flag: True, description: Minor incident involving traffic
incident_id: INC00000023, trip_id: TRIP00006542, truck_id: TRK00057, driver_id: DRV00062, incident_date: 2022-03-25 12:00:00, incident_type: Accident, location_city: Detroit, location_state: OH, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 3931.12, cargo_damage_cost: 40113.96, claim_amount: 44045.08, preventable_flag: False, description: Minor incident involving equipment
incident_id: INC00000024, trip_id: TRIP00016403, truck_id: TRK00116, driver_id: DRV00057, incident_date: 2022-07-30 12:00:00, incident_type: Customer Complaint, location_city: Charlotte, location_state: PA, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 2870.01, cargo_damage_cost: 0.0, claim_amount: 2870.01, preventable_flag: False, description: Moderate incident involving traffic
incident_id: INC00000025, trip_id: TRIP00074001, truck_id: TRK00025, driver_id: DRV00002, incident_date: 2024-08-07 10:00:00, incident_type: Equipment Damage, location_city: Memphis, location_state: PA, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 22117.89, cargo_damage_cost: 0.0, claim_amount: 22117.89, preventable_flag: False, description: Moderate incident involving weather
incident_id: INC00000026, trip_id: TRIP00064319, truck_id: TRK00082, driver_id: DRV00038, incident_date: 2024-04-08 06:00:00, incident_type: DOT Violation, location_city: Los Angeles, location_state: CO, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 18303.46, cargo_damage_cost: 0.0, claim_amount: 18303.46, preventable_flag: False, description: Minor incident involving traffic
incident_id: INC00000027, trip_id: TRIP00012626, truck_id: TRK00013, driver_id: DRV00104, incident_date: 2022-06-12 10:00:00, incident_type: Customer Complaint, location_city: Phoenix, location_state: GA, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 13379.62, cargo_damage_cost: 2259.73, claim_amount: 15639.35, preventable_flag: True, description: Minor incident involving equipment
incident_id: INC00000028, trip_id: TRIP00079288, truck_id: TRK00054, driver_id: DRV00004, incident_date: 2024-10-13 16:00:00, incident_type: Customer Complaint, location_city: Portland, location_state: MO, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 10006.92, cargo_damage_cost: 0.0, claim_amount: 10006.92, preventable_flag: False, description: Minor incident involving other driver
incident_id: INC00000029, trip_id: TRIP00019840, truck_id: TRK00039, driver_id: DRV00017, incident_date: 2022-09-12 03:00:00, incident_type: Equipment Damage, location_city: Los Angeles, location_state: FL, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 6121.59, cargo_damage_cost: 24601.04, claim_amount: 30722.63, preventable_flag: False, description: Severe incident involving other driver
incident_id: INC00000030, trip_id: TRIP00033018, truck_id: TRK00024, driver_id: DRV00045, incident_date: 2023-02-28 03:00:00, incident_type: Customer Complaint, location_city: Dallas, location_state: TN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 3783.54, cargo_damage_cost: 0.0, claim_amount: 3783.54, preventable_flag: False, description: Severe incident involving traffic
incident_id: INC00000031, trip_id: TRIP00051725, truck_id: TRK00045, driver_id: DRV00149, incident_date: 2023-10-27 02:00:00, incident_type: Equipment Damage, location_city: Minneapolis, location_state: IN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 23296.79, cargo_damage_cost: 0.0, claim_amount: 23296.79, preventable_flag: False, description: Severe incident involving weather
incident_id: INC00000032, trip_id: TRIP00068238, truck_id: TRK00020, driver_id: DRV00088, incident_date: 2024-05-27 06:00:00, incident_type: Accident, location_city: Philadelphia, location_state: WA, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 24614.16, cargo_damage_cost: 0.0, claim_amount: 24614.16, preventable_flag: False, description: Severe incident involving other driver
incident_id: INC00000033, trip_id: TRIP00016176, truck_id: TRK00010, driver_id: DRV00011, incident_date: 2022-07-28 12:00:00, incident_type: DOT Violation, location_city: Seattle, location_state: TX, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 17729.8, cargo_damage_cost: 8080.5, claim_amount: 25810.3, preventable_flag: True, description: Minor incident involving equipment
incident_id: INC00000034, trip_id: TRIP00021253, truck_id: TRK00016, driver_id: DRV00014, incident_date: 2022-09-29 10:00:00, incident_type: DOT Violation, location_city: Chicago, location_state: PA, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 14994.22, cargo_damage_cost: 49251.5, claim_amount: 64245.72, preventable_flag: False, description: Minor incident involving other driver
incident_id: INC00000035, trip_id: TRIP00019719, truck_id: TRK00026, driver_id: DRV00006, incident_date: 2022-09-10 06:00:00, incident_type: Equipment Damage, location_city: New York, location_state: TN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 19624.96, cargo_damage_cost: 0.0, claim_amount: 19624.96, preventable_flag: False, description: Severe incident involving equipment
incident_id: INC00000036, trip_id: TRIP00030657, truck_id: TRK00114, driver_id: DRV00011, incident_date: 2023-01-27 16:00:00, incident_type: DOT Violation, location_city: New York, location_state: NC, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 22477.63, cargo_damage_cost: 0.0, claim_amount: 22477.63, preventable_flag: False, description: Minor incident involving equipment
incident_id: INC00000037, trip_id: TRIP00042776, truck_id: TRK00031, driver_id: DRV00001, incident_date: 2023-07-04 01:00:00, incident_type: Customer Complaint, location_city: Miami, location_state: WI, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 22667.73, cargo_damage_cost: 0.0, claim_amount: 22667.73, preventable_flag: False, description: Severe incident involving traffic
incident_id: INC00000038, trip_id: TRIP00022838, truck_id: TRK00092, driver_id: DRV00050, incident_date: 2022-10-19 12:00:00, incident_type: Accident, location_city: Chicago, location_state: MO, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Moderate incident involving traffic
incident_id: INC00000039, trip_id: TRIP00080961, truck_id: TRK00112, driver_id: DRV00018, incident_date: 2024-11-05 23:00:00, incident_type: Customer Complaint, location_city: Charlotte, location_state: CA, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 13425.42, cargo_damage_cost: 376.13, claim_amount: 13801.55, preventable_flag: True, description: Moderate incident involving equipment
incident_id: INC00000040, trip_id: TRIP00021010, truck_id: TRK00008, driver_id: DRV00128, incident_date: 2022-09-27 07:00:00, incident_type: Customer Complaint, location_city: Denver, location_state: CO, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 19633.39, cargo_damage_cost: 0.0, claim_amount: 19633.39, preventable_flag: False, description: Moderate incident involving equipment
incident_id: INC00000041, trip_id: TRIP00043932, truck_id: TRK00053, driver_id: DRV00100, incident_date: 2023-07-19 19:00:00, incident_type: Customer Complaint, location_city: Minneapolis, location_state: NC, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 24060.67, cargo_damage_cost: 10999.07, claim_amount: 35059.74, preventable_flag: False, description: Moderate incident involving weather
incident_id: INC00000042, trip_id: TRIP00018651, truck_id: TRK00054, driver_id: DRV00094, incident_date: 2022-08-27 05:00:00, incident_type: Moving Violation, location_city: Memphis, location_state: TX, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 6561.35, cargo_damage_cost: 36910.92, claim_amount: 43472.27, preventable_flag: False, description: Severe incident involving other driver
incident_id: INC00000043, trip_id: TRIP00081463, truck_id: TRK00099, driver_id: DRV00103, incident_date: 2024-11-12 09:00:00, incident_type: Moving Violation, location_city: Nashville, location_state: NV, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 16514.69, cargo_damage_cost: 0.0, claim_amount: 16514.69, preventable_flag: False, description: Minor incident involving weather
incident_id: INC00000044, trip_id: TRIP00043850, truck_id: TRK00062, driver_id: DRV00104, incident_date: 2023-07-17 13:00:00, incident_type: DOT Violation, location_city: Chicago, location_state: MI, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 13299.51, cargo_damage_cost: 0.0, claim_amount: 13299.51, preventable_flag: True, description: Minor incident involving weather
incident_id: INC00000045, trip_id: TRIP00068665, truck_id: TRK00033, driver_id: DRV00058, incident_date: 2024-06-03 03:00:00, incident_type: DOT Violation, location_city: Columbus, location_state: TN, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Moderate incident involving other driver
incident_id: INC00000046, trip_id: TRIP00013936, truck_id: TRK00095, driver_id: DRV00029, incident_date: 2022-06-28 09:00:00, incident_type: DOT Violation, location_city: Chicago, location_state: MO, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Moderate incident involving weather
incident_id: INC00000047, trip_id: TRIP00014635, truck_id: TRK00031, driver_id: DRV00041, incident_date: 2022-07-09 18:00:00, incident_type: Equipment Damage, location_city: Columbus, location_state: TN, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 12202.8, cargo_damage_cost: 0.0, claim_amount: 12202.8, preventable_flag: False, description: Minor incident involving equipment
incident_id: INC00000048, trip_id: TRIP00073076, truck_id: TRK00105, driver_id: DRV00066, incident_date: 2024-07-27 12:00:00, incident_type: Customer Complaint, location_city: Phoenix, location_state: IL, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Moderate incident involving equipment
incident_id: INC00000049, trip_id: TRIP00056337, truck_id: TRK00110, driver_id: DRV00058, incident_date: 2023-12-26 16:00:00, incident_type: Equipment Damage, location_city: Memphis, location_state: GA, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 23165.07, cargo_damage_cost: 0.0, claim_amount: 23165.07, preventable_flag: False, description: Severe incident involving equipment
incident_id: INC00000050, trip_id: TRIP00039757, truck_id: TRK00067, driver_id: DRV00054, incident_date: 2023-05-27 22:00:00, incident_type: Equipment Damage, location_city: Houston, location_state: NV, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Severe incident involving other driver
incident_id: INC00000051, trip_id: TRIP00016308, truck_id: TRK00018, driver_id: DRV00023, incident_date: 2022-07-29 10:00:00, incident_type: Accident, location_city: Los Angeles, location_state: NV, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 5214.81, cargo_damage_cost: 0.0, claim_amount: 5214.81, preventable_flag: True, description: Minor incident involving other driver
incident_id: INC00000052, trip_id: TRIP00080811, truck_id: TRK00067, driver_id: DRV00149, incident_date: 2024-11-03 08:00:00, incident_type: Accident, location_city: Los Angeles, location_state: NE, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Minor incident involving other driver
incident_id: INC00000053, trip_id: TRIP00036732, truck_id: TRK00009, driver_id: DRV00019, incident_date: 2023-04-15 02:00:00, incident_type: Accident, location_city: Houston, location_state: NV, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 852.1, cargo_damage_cost: 0.0, claim_amount: 852.1, preventable_flag: False, description: Minor incident involving equipment
incident_id: INC00000054, trip_id: TRIP00022029, truck_id: TRK00105, driver_id: DRV00090, incident_date: 2022-10-10 23:00:00, incident_type: Accident, location_city: Miami, location_state: UT, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 18809.17, cargo_damage_cost: 0.0, claim_amount: 18809.17, preventable_flag: False, description: Moderate incident involving traffic
incident_id: INC00000055, trip_id: TRIP00000271, truck_id: TRK00093, driver_id: DRV00124, incident_date: 2022-01-06 15:00:00, incident_type: Equipment Damage, location_city: Phoenix, location_state: NY, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 23366.57, cargo_damage_cost: 0.0, claim_amount: 23366.57, preventable_flag: False, description: Severe incident involving equipment
incident_id: INC00000056, trip_id: TRIP00069367, truck_id: TRK00055, driver_id: DRV00100, incident_date: 2024-06-11 15:00:00, incident_type: DOT Violation, location_city: Chicago, location_state: NE, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 17112.08, claim_amount: 17112.08, preventable_flag: False, description: Minor incident involving other driver
incident_id: INC00000057, trip_id: TRIP00052380, truck_id: TRK00103, driver_id: DRV00082, incident_date: 2023-11-05 17:00:00, incident_type: Moving Violation, location_city: Charlotte, location_state: TN, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Minor incident involving other driver
incident_id: INC00000058, trip_id: TRIP00077372, truck_id: TRK00024, driver_id: DRV00127, incident_date: 2024-09-22 04:00:00, incident_type: DOT Violation, location_city: Memphis, location_state: MN, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 24102.19, cargo_damage_cost: 0.0, claim_amount: 24102.19, preventable_flag: False, description: Minor incident involving other driver
incident_id: INC00000059, trip_id: TRIP00068506, truck_id: TRK00060, driver_id: DRV00089, incident_date: 2024-05-29 11:00:00, incident_type: Equipment Damage, location_city: Salt Lake City, location_state: NC, at_fault_flag: True, injury_flag: True, vehicle_damage_cost: 15019.37, cargo_damage_cost: 0.0, claim_amount: 15019.37, preventable_flag: True, description: Minor incident involving equipment
incident_id: INC00000060, trip_id: TRIP00067707, truck_id: nan, driver_id: DRV00101, incident_date: 2024-05-21 07:00:00, incident_type: Accident, location_city: Atlanta, location_state: IL, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 13414.05, cargo_damage_cost: 0.0, claim_amount: 13414.05, preventable_flag: False, description: Severe incident involving equipment
incident_id: INC00000061, trip_id: TRIP00079871, truck_id: TRK00011, driver_id: DRV00119, incident_date: 2024-10-22 20:00:00, incident_type: Moving Violation, location_city: Salt Lake City, location_state: OR, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 18400.91, cargo_damage_cost: 0.0, claim_amount: 18400.91, preventable_flag: False, description: Moderate incident involving weather
incident_id: INC00000062, trip_id: TRIP00075973, truck_id: TRK00001, driver_id: DRV00141, incident_date: 2024-09-04 21:00:00, incident_type: DOT Violation, location_city: Salt Lake City, location_state: WA, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 7737.05, cargo_damage_cost: 0.0, claim_amount: 7737.05, preventable_flag: True, description: Minor incident involving other driver
incident_id: INC00000063, trip_id: TRIP00008117, truck_id: TRK00019, driver_id: DRV00142, incident_date: 2022-04-17 17:00:00, incident_type: Equipment Damage, location_city: Seattle, location_state: CA, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 6476.75, cargo_damage_cost: 43698.11, claim_amount: 50174.86, preventable_flag: False, description: Minor incident involving equipment
incident_id: INC00000064, trip_id: TRIP00036527, truck_id: TRK00040, driver_id: DRV00112, incident_date: 2023-04-13 17:00:00, incident_type: DOT Violation, location_city: Milwaukee, location_state: OH, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Moderate incident involving traffic
incident_id: INC00000065, trip_id: TRIP00084686, truck_id: TRK00006, driver_id: DRV00124, incident_date: 2024-12-24 09:00:00, incident_type: Accident, location_city: Phoenix, location_state: OK, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 17783.76, cargo_damage_cost: 0.0, claim_amount: 17783.76, preventable_flag: True, description: Severe incident involving weather
incident_id: INC00000066, trip_id: TRIP00010156, truck_id: TRK00002, driver_id: DRV00070, incident_date: 2022-05-10 12:00:00, incident_type: DOT Violation, location_city: Salt Lake City, location_state: TN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 18964.84, cargo_damage_cost: 42214.25, claim_amount: 61179.09, preventable_flag: True, description: Minor incident involving other driver
incident_id: INC00000067, trip_id: TRIP00018047, truck_id: TRK00031, driver_id: DRV00066, incident_date: 2022-08-18 02:00:00, incident_type: DOT Violation, location_city: Columbus, location_state: IN, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Minor incident involving equipment
incident_id: INC00000068, trip_id: TRIP00083177, truck_id: TRK00092, driver_id: DRV00030, incident_date: 2024-12-02 08:00:00, incident_type: Moving Violation, location_city: Denver, location_state: FL, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 16566.78, cargo_damage_cost: 0.0, claim_amount: 16566.78, preventable_flag: False, description: Minor incident involving weather
incident_id: INC00000069, trip_id: TRIP00075012, truck_id: TRK00061, driver_id: DRV00043, incident_date: 2024-08-21 06:00:00, incident_type: DOT Violation, location_city: Los Angeles, location_state: GA, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 15399.79, cargo_damage_cost: 0.0, claim_amount: 15399.79, preventable_flag: True, description: Minor incident involving traffic
incident_id: INC00000070, trip_id: TRIP00035290, truck_id: TRK00069, driver_id: DRV00012, incident_date: 2023-03-31 00:00:00, incident_type: Equipment Damage, location_city: Charlotte, location_state: MI, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 47959.36, claim_amount: 47959.36, preventable_flag: False, description: Moderate incident involving traffic
incident_id: INC00000071, trip_id: TRIP00057741, truck_id: TRK00105, driver_id: DRV00070, incident_date: 2024-01-15 17:00:00, incident_type: Accident, location_city: Chicago, location_state: GA, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Minor incident involving traffic
incident_id: INC00000072, trip_id: TRIP00042350, truck_id: TRK00057, driver_id: DRV00092, incident_date: 2023-06-29 19:00:00, incident_type: DOT Violation, location_city: Nashville, location_state: MN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Severe incident involving weather
incident_id: INC00000073, trip_id: TRIP00074311, truck_id: TRK00053, driver_id: DRV00004, incident_date: 2024-08-11 07:00:00, incident_type: Equipment Damage, location_city: Miami, location_state: CA, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Moderate incident involving weather
incident_id: INC00000074, trip_id: TRIP00010516, truck_id: TRK00103, driver_id: DRV00101, incident_date: 2022-05-17 09:00:00, incident_type: Customer Complaint, location_city: Seattle, location_state: NE, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: True, description: Severe incident involving traffic
incident_id: INC00000075, trip_id: TRIP00029280, truck_id: TRK00050, driver_id: DRV00003, incident_date: 2023-01-11 08:00:00, incident_type: DOT Violation, location_city: Salt Lake City, location_state: MO, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Minor incident involving equipment
incident_id: INC00000076, trip_id: TRIP00025439, truck_id: TRK00054, driver_id: DRV00047, incident_date: 2022-11-21 16:00:00, incident_type: Equipment Damage, location_city: Phoenix, location_state: AZ, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 23775.81, cargo_damage_cost: 0.0, claim_amount: 23775.81, preventable_flag: False, description: Severe incident involving equipment
incident_id: INC00000077, trip_id: TRIP00039355, truck_id: TRK00083, driver_id: DRV00146, incident_date: 2023-05-21 11:00:00, incident_type: Equipment Damage, location_city: Memphis, location_state: UT, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 18884.39, cargo_damage_cost: 29755.82, claim_amount: 48640.21, preventable_flag: False, description: Moderate incident involving equipment
incident_id: INC00000078, trip_id: TRIP00036751, truck_id: TRK00093, driver_id: DRV00121, incident_date: 2023-04-18 07:00:00, incident_type: Moving Violation, location_city: Las Vegas, location_state: GA, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Severe incident involving other driver
